GENERAL,Unnamed: 1,General Notes ,Unnamed: 3,Unnamed: 4,GSP Information,Answer,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,Environment,2,Were data gaps identified when mapping GDEs?,"groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, data gap, shallow monitoring well, shallow aquifer",Somewhat,"Additional information regarding the true water table depth in thevriparian zone and a more comprehensive evaluation of rainfall, irrigation, and wastewater discharge time series is needed to confirm the degree of vegetation dependence on groundwater levels. 

&& As noted in Section 6.7.8, there are several data gaps related to depletions of interconnected surface water along Temescal Wash. Data gaps include lack of water level data in certain areas, lack of dedicated monitoring (vs. production) wells, lack of wells within or near the wash channel, and uncertainty regarding vertical gradients. The objective of Project 1 is to address this data gap and improve protection of a potentially groundwater-dependent ecosystem (GDE) along Temescal Wash.","8-4 / 8.6
4-15 / 4.9.3","GDEs (as riparian vegeation and wetlands) are mapped in figures 4-16 and 4-21. Data gaps are mentioned in section 8, but are not clearly in the GDE section."
,,Environment,2,"In the case of data gaps and uncertainty, were potential GDEs mapped and described in the GSP?","potential groundwater dependent ecosystem, potential GDE, potential groundwater-dependent ecosystem, data gap",No,,,There is no map of potential GDE and no descibtion of potential GDEs
,Water Budget,Ecosystems,1,"Does the GSP include water demands for native vegetation in the historic, current, and projected water budgets?","water budget, native vegetation, phreatophyte",Yes,"
5.7.2.4. Riparian Evapotranspiration, Evapotranspiration of groundwater by phreatophytic riparian vegetation is influenced by available soil moisture and by depth to the water table. Like other types of vegetation, phreatophytes use soil moisture supplied by rainfall when it is available. Any remaining evapotranspiration demand is met by drawing water from the water table. Phreatophyte use of groundwater is assumed to decrease from the maximum rate when the water table is at the land surface to zero when the water table is 20 feet or more below the ground surface. These calculations are applied at all model cells, but non-zero amounts only occur where the depth to water is commonly less than 20 feet. Aerial photographs indicate a correlation between those areas and the presence of dense, lush riparian vegetation. Riparian evapotranspiration (ET) was a relatively minor component of groundwater outflow in both MAs—averaging four percent of total outflowsfrom the Coldwater MA and 10 percent of total outflows from the Bedford MA.","
5-18 / 5.7.2.4","Evapotranspiration of phreatophytic vegetation is included in the groundwater model for the water budgets. Other than phraetophytic vegation, no specific call out of native vegetation water demands are discussed in the sections. "
,,Ecosystems,1,"Does the GSP include water demands for managed wetlands in the historic, current, and projected water budgets?","water budget, managed wetlands",Not Applicable,"Evapotranspiration of groundwater by phreatophytic riparian vegetation is influenced by available soil moisture and by depth to the water table. Like other types of vegetation, phreatophytes use soil moisture supplied by rainfall when it is available. Any remaining evapotranspiration demand is met by drawing water from the water table. Phreatophyte use of groundwater is assumed to decrease from the maximum rate when the water table is at the land surface to zero when the water table is 20 feet or more below the ground surface. These calculations are applied at all model cells, but non-zero amounts only occur where the depth to water is commonly less than 20 feet. Aerial photographs indicate a correlation between those areas and the presence of dense, lush riparian vegetation. Riparian evapotranspiration (ET) was a relatively minor component of groundwater outflow in both MAs—averaging four percent of total outflowsfrom the Coldwater MA and 10 percent of total outflows from the Bedford MA.","Table 5-4, pg 5-15 / 5-5.7 
5-1 / 5.7.2.4",Average Annual Groundwater budgets includes riparian evapotranspiration in the water budget. No mention of managed wetlands
,,Climate Change,1,"Does the GSP incorporate climate change into the projected water budget using DWR change factors or other source? If other, please specify in the Notes. If DWR change factors were used, indicate in the Notes whether the GSP use 2030 factors, 2070 factors, or both?","water budget, climate change, change factors, 2030, 2070",Yes,"5.5.3. Simulation of Future Conditions
GSP regulations §354.18(c)(3) require simulation of three future scenarios to determine their effects on water balances, yield, and sustainability indicators. For this scenario, the growth and climate change scenarios were combined, resulting in the following two scenarios: Baseline. This represents a continuation of existing land and water use patterns, imported water availability, and climate. Growth Plus Climate Change. This scenario implements anticipated changes in land use and associated water use, such as urban expansion, and anticipated effects of future climate change on  local hydrology (rainfall recharge and stream percolation) and on the availability of imported water supplies. Both the future simulations assume a constant level of development and related water
demand in the Basin. Development in the growth plus climate change simulation is not phased in over time. This is the best way to demonstrate whether 2068 land use is sustainable because it allows for assessment of the effects of variations in climactic conditions (wet and dry cycles) on groundwater conditions, avoids subjective decisions about the concurrent timing of droughts and development, and providestime for the full effect of future conditions on groundwater to become apparent
&&&
The growth plus climate change scenario incorporated anticipated effects of climate change, urban development, and associated changes in water and wastewater management. In this scenario, rainfall and reference evapotranspiration (ET0) were adjusted to 2070 conditions using monthly multipliers developed by DWR based on climate modeling studies. The multipliers were applied to historical monthly data for the 1993 to 2017 hydrologic period used in the model. DWR prepared a unique set of multipliers for each foursquare kilometer (km2 ) cell of a grid covering the entire state.",5-7 / 5.5.3.2,They have used a DWR Multiplier
,,Climate Change,1,"Does the GSP consider multiple climate scenarios (e.g., the 2070 wet and 2070 extremely dry) scenarios in the projected water budget? If there are other scenarios considered in the GSP, please specify in the Notes.","projected water budget, 2070",No,"The multipliers were applied to historical monthly data for the 1993 to 2017 hydrologic period used in the model. DWR prepared a unique set of multipliers for each foursquare kilometer (km2 ) cell of a grid 
 covering the entire state. Nine climate grid cells overlie the Basin and its tributary watershed areas. For each recharge analysis polygon in the rainfall-runoff-recharge model, multipliers from the nearest climate grid cell were used",5-7 / 5.5.3.2,Only 2070 baseline is considered. There is no mention of 2070 wet or dry
,,Climate Change,2,Does the GSP incorporate climate change into precipitation inputs for the projected water budget?,"projected water budget, precipitation, input",Yes,"The growth plus climate change scenario incorporated anticipated effects of climate change, urban development, and associated changes in water and wastewater management. In this scenario, rainfall and reference evapotranspiration (ET0) were adjusted to 2070 conditions using monthly multipliers developed by DWR based on climate modeling studies. The multipliers were applied to historical monthly data for the 1993 to 2017 hydrologic period used in the model. DWR prepared a unique set of multipliers for each foursquare kilometer (km2) cell of a grid covering the entire state. Nine climate grid cells overlie the Basin and its tributary watershed areas. For each recharge analysis polygon in the rainfall-runoff-recharge model, multipliers from the nearest climate grid cell were used. The climate in 2070 is expected to be drier and warmer than at present. 

Figure 5-3 compares average monthly precipitation and ET0 before and after applying the climate change multipliers. Simulations of irrigated turf in the rainfall-runoff-recharge model indicated that the combined effect of the warmer and drier climate will be to increase annual irrigation demand by about 10 percent.",Figure 5-3 pg 5-7 / 5.5.3.2,
,,Climate Change,2,Does the GSP incorporate climate change into evapotranspiration inputs for the projected water budget?,"projected water budget, evapotranspiration, ET, input",Yes,"In this scenario, rainfall and reference evapotranspiration (ET0) were adjusted to 2070 conditions using monthly multipliers developed by DWR based on climate modeling studies",5-7 / 5.5.3.2,
,,Climate Change,2,"Does the GSP incorporate climate change into surface water flow inputs (e.g., imported water, streamflow) for the projected water budget?","projected water budget, surface water flow, input",Yes,"In the growth plus climate change scenario, bedrock inflow and surface inflow from tributary streams along the perimeter of the Basin were re-simulated using the rainfall-runoff-recharge model to reflect the effects of urban development in some of the tributary watersheds and of climate change. Urbanization also increased surface runoff within the Basin, which was routed to small streams and Temescal Wash.","5-7 / 5.5.3.2
 Table 5-3, pg 5-11 / 5.6",
,,Climate Change,2,Does the GSP incorporate climate change into sea level inputs for the projected water budget?,"projected water budget, sea level, input",Not Applicable,"There is no monitoring for seawater intrusion and no gaging of tidal influence. The Basin is located over 20 miles inland from the Pacific Ocean, and its lowest elevations are around 1,000 feet above sea level. No risk of seawater intrusion exists in the Basin given its location and therefore no monitoring is needed.",7-5 / 7.1.3,No risk of seawater intrusion exists in the Basin given its location and therefore no monitoring is needed.
,,Climate Change,2,Does the GSP calculate a sustainable yield based on the projected water budget with climate change incorporated?,"sustainable yield, projected water budget",Yes,"""The sustainable yield is defined as the volume of pumping that the Basin can sustain without causing undesirable effects. It is not a fixed orinherent natural characteristic of a groundwater basin. Rather, it is influenced by land use activities, importation of water, wastewater and stormwater management methods, potential recharge with recycled water, and the locations of wells with respect to interconnected streams. The estimates ofsustainable yield presented in this section reflect the current status of those variables under the historical and future scenarios and evaluates whether there would be a long-term increase or decrease in basin storage if those conditions continued over a 50-year future period.""","Table 5-5, pg 5-21  / 5.9","GSP provides 3 different sustainable yields: historic, baseline (2019-2068), and growth plus climate change (2019-2068)"
SUSTAINABLE MANAGEMENT CRITERIA,Undesirable Results,Domestic,1,Does the GSP analyze direct or indirect impacts on domestic drinking wells when defining Undesirable Results for 1) Chronic Lowering of Groundwater Levels and 2) Water Quality (See line 24)?,"domestic well, drinking water, undesirable result, groundwater levels, water quality, groundwater quality",Somewhat,"For Bedford-Coldwater Basin, the primary potential cause of declining groundwater levels and associated undesirable results would be increased groundwater production and/or reduced inflows (recharge). Given that the Bedford-Coldwater Basin is not characterized by basin-wide chronic groundwater level declines, then the undesirable results of a well losing yield, or “going dry” represent a more complex interplay of causes and shared responsibility. Currently 12 wells are regularly monitored for TDS and/or nitrate in the Basin by GSA member agencies,shown on Table 6-2. The wells generally are sampled semi-annually with lab analysis for general minerals and physical parameters. Accordingly, this data set can be used to detect a range of problems quickly, to track trends, allow geochemical investigation, and support focused management actions.$$$ 
As documented in Groundwater Conditions Section 4.1, analysis of hydrographs reveals that Bedford-Coldwater is not characterized by basin-wide chronic groundwater level declines. While affected at times by drought, groundwater levels in broad areas of the Basin have been maintained at relatively stable levels. Moreover, the Bedford-Coldwater area has not been marked by reports of significant impacts to shallow supply wells as a result of water level declines. In the absence of reported well problems associated with declining groundwater levels, it can be concluded that undesirable results for the chronic lowering of water levels are not occurring in the Bedford-Coldwater and that the Basin is managed sustainably relative to groundwater levels.$$$
Water Quality. General relationships are recognized, for example that contaminants may be mobilized by changing groundwater levels or flow patterns. Maintenance of groundwater levels within historical operational ranges would minimize any effects on maintenance of water quality at or above minimum thresholds. The groundwater quality issues in Bedford-Coldwater Basin are associated primarily with salt and nutrient loading and not likely to be affected by groundwater levels or flow within operational ranges.&&&
Degraded water quality can impair water supply and affect human health and the environment. Impacts to drinking water supply wells can result in increased sampling and monitoring, increased treatment costs, use of bottled water, and loss of wells, which may be taken offline because of quality issues. As described in Groundwater Conditions Sections 4.6 and 4.7, elevated concentrations in drinking water of some constituents, such as nitrate, can adversely affect human health.$$$
6.2.1  For purposes of setting a Minimum Threshold, undesirable results are defined as a well going dry. This appears to be a low standard and not protective of private wells but there are very few private wells in the Basin. The rationale is summarized as follows with more explanation in the following sections:
• There are very few active private wells in the Basin, as residential users are connected to municipal water supplies.
• Known private wells are for non-potable uses and are of similar depths and constructio  to the monitored municipal supply wells. No private wells have been reported to have water shortages in the California Department of Water Resources (DWR) led Household Water Supply Shortage Reporting System (DWR 2021).
• Responsibility for potential undesirable results to shallow wells is shared between a GSA and a well owner; there is a reasonable expectation that a well owner would construct, maintain, and operate the well to provide its expected yield over the well’s life span, including droughts.""","6-5 / 6.2  
6.5 / 6.2.1
5-13 / 6.2.2
6-11/6.2.6.2
6-25 / 6.6.4 ","They mention ""GSA is not solely responsible for local or well-specific problems and furthermore that responsibility is shared with a well owner."" the private or domestc wells are mostly nonpotable wells. They also point out bedford basin is not characterized by chronic gw lvl decline. so this basin won't be affected by chronic lowering of gw,?!! they also mention how chronic lowering can affect GW quality very vague. 
Private/domestic wells are mentioned in the description of undesirable results for Chronic Lowering of Groundwater Levels, but the direct or indirect impacts are not discussed.  Unsure if domestic wells are addressed in the Water Quality section since they assess monitoring wells but not specifically domestic/private wells. More indepth study in this section is needed. however they have 12 wells for sampling of nitrate and TDS"
,,DACs,1,"Does the GSP analyze direct and indirect impacts on DACs when defining Undesirable Results for 1) Chronic Lowering of Groundwater Levels, 2) Water Quality (see line 24), and 3) Depletions of Interconnected Surface Waters?","disadvantaged communit*, DAC, tribal, tribe, drinking water, undesirable result, groundwater levels, water quality, groundwater quality",Not Applicable,,,NA because no DACs are identified in the project area
,,Tribes,1,"Does the GSP analyze direct and indirect impacts on Tribes when defining Undesirable Results for 1) Chronic Lowering of Groundwater Levels, 2) Water Quality (see line 24), and 3) Depletions of Interconnected Surface Waters?","disadvantaged communit*, DAC, tribal, tribe, drinking water, undesirable result, groundwater levels, water quality, groundwater quality",No,,,no Tribes are mentioned
,,Ecosystems,1,"Does the GSP analyze direct and indirect impacts on GDEs when defining Undesirable Results for 1) Chronic Lowering of Groundwater Levels, 2) Water Quality, and 3) Depletions of Interconnected Surface Waters?","groundwater dependent ecosystem, GDE, groundwater-dependent ecosystem, instream, environment, undesirable result, groundwater levels, water quality, groundwater quality, depletion of surface water, ISW",Somewhat,"6.7.1. Description of Undesirable Results: If a stream is hydraulically connected to groundwater, pumping from nearby wells can reduce the amount of stream flow by intercepting groundwater that would have discharged into the stream or by inducing seepage from the stream. Undesirable results associated with stream flow depletion include reduced quality and quantity of aquatic and riparian habitats and reduced water supply to downstream users. Conceptually, adverse habitat impacts can result from decreased rainfall, decreased stream flow and/or lowered groundwater levels. These variables are highly correlated in time: droughts include rainfall reductions, decreased stream flows, and lowered groundwater levels at a time when habitat impacts are usually the most severe. Furthermore, droughts and wet periods are a natural feature of California’s climate and are associated with waxing and waning of habitat conditions.
In summary, Temescal Wash does not appear to be a significant habitat for any listed animal species that would potentially be impacted by groundwater pumping or water levels. However, riparian shrubs and trees and non-listed animal species that use them could potentially be impacted during droughts if lowered groundwater levels cause vegetation dieback or mortality.$$
Animals dependent on groundwater include fish that permanently reside in Temescal Wash or migrate up and down the Wash during the high flow season, amphibians, and birds that inhabit riparian vegetation. Temescal Wash historically supported a steelhead trout run, remnants of which persist as resident rainbow trout in Coldwater Canyon Creek (which enters the Bedford-Coldwater Basin from the Santa Ana Mountains). Currently, perennially ponded areas along the lower reaches of the creek support robust population of invasive and exotic predatory species including bass, bullhead, sunfish, carp, and some slider turtles (Russell 2020). Arroyo chub is another fish that was once present in the Santa Ana River watershed, but it has been extirpated in most streams due to these exotic predators. Riverside County Resource Conservation District (RCRCD) implemented the Temescal Creek Native Fish Restoration Project in the early 2000s, which focused on eliminating nonnative plant and animal species that prey upon or create unfavorable habitat conditions for native fish species (Western Riverside County Regional Conservation Authority 2020). However, flow conditions in Temescal Wash do not currently support native fish (Russell 2020).
Animals dependent on riparian vegetation can also be considered dependent on groundwater. The Western Riverside County Multi-Species Habitat Conservation Plan (MSHCP) evaluates the presence and habitat needs of 146 species. The only ones mapped in the vicinity of the Basin are upland plants and burrowing owls, none of which are dependent on groundwater (Western Riverside County Regional Conservation Authority 2020). The federally threatened California coastal gnatcatcher is a bird species associated with sage scrub environments. The designated critical habitat areas are almost exclusively in upland areas outside the Basin. However, edges of a few mapped habitat areas border the Temescal Wash corridor (see Figure 4-20).$$$
The extent and health of riparian vegetation along Temescal Wash was evaluated using three data sets: 1) Google Earth aerial imagery dating back to 1994 (Google Earth 2021), 2) NCCAG mapping of riparian vegetation representing a composite of numerous vegetation mapping eforts around the state (most dating from the early 2000s) (DWR et al. 2020), and 3) TNC’s GDE Pulse on-line mapping tool showing vegetation moisture status based on satellite data (TNC 2020).","6-30/ 6.7.1
6-32 / 6.7.4
6.7.2.2
6.7.2.3
6-32/ 6.7.2.4","They consider GDE on the depletion of ISW (wetlands, animals, riparian vegetation) and lowering of GW, they don't go into detail for water quality/ These sections' undesirable results do not provide analysis either direct or indirect impacts on GDEs. They conclude regarding ISW, the subbasin is now sustainable regarding GDE"
,Minimum Thresholds,All,2,Does the GSP establish Water Quality minimum thresholds and measurable objectives for any identified constituents/contaminents identified in the plan area (see line 24)? Please identify which constituents have Minimum Thresholds and Measurable Objectives in the Notes.,"minimum threshold, water quality, groundwater quality, contaminent, constituent of concern, COC",Yes,"The Minimum Thresholds for degradation of water quality address nitrate and total dissolved solids (TDS) for the entire Basin.
o The Nitrate Minimum Threshold (in both Management Areas) is defined as 5-year average concentrations of all monitored wells not exceeding the 10 milligrams per liter (mg/L) drinking water maximum contaminant level (MCL) for Nitrate as Nitrogen.
o The TDS Minimum Threshold (in both Management Areas) is defined as the 5-year average concentrations not exceeding the 1,000 mg/L secondary MCL for TDS.","6-4 / 6.1.3
","Minimum thresholds are set for Nitrate and TDS, the two constiuents of Concern identified in the Basin Setting."
,,All,2,Are Water Quality minimum thresholds based on or within the Maximum Contaminent levels (MCLs)? Answer Yes = for identified constituents; Somewhat = for some of the identified constituents; No = none of the identified constituents; Not Applicable should never be an answer for this question.,"maximum contaminent level, MCL, minimum threshold, water quality, groundwater quality, contaminent, constituent of concern, COC",Yes,"The maximum contaminant level (MCL) for nitrate (as nitrogen) is 10 mg/L. Nitrate data are available for Basin inflows and outflows, and as documented in the SNMP (WEI 2017a), elevated nitrate concentrations have been recognized. The SNMP analysis of nitrate loading found that most areas had predicted small increasing trends in nitrate in groundwater. However, no wells exceed the MCL for nitrate.",4-8 / 4.7,The MT is set at MCL level
,,Drinking Water Users,1,"Does the GSP evaluate the cumulative or indirect impacts of proposed minimum thresholds on drinking water users (e.g., domestic wells, municipal water suppliers)? If so, please indicate in the notes for which sustainability indicators (i.e., Groundwater levels, Water Quality).","minimum threshold, disadvantaged communit*, drinking water users, domestic, domestic wells, groundwater levels, water quality, groundwater quality",No,"The establishment of the MTs reflects the available data regarding the current condition of the Basin relative to TDS and nitrate concentrations. Establishing the MTs represents no change and recognizes that groundwater has been and is being used reasonably for the range of beneficial uses. The MTs represent a quantified starting point for protection of groundwater quality and for projects and management actions to improve groundwater quality, consistent with a best management practices approach","Table 6-1
6-17/6.3.6.3
6-28 / 6.6.5.3","Groundwater storage, groundwater quality and in both they conclude gw has been and is
being used reasonably for the range of beneficial uses even during droughts. "
,,DACs,1,"Does the GSP evaluate the cumulative or indirect impacts of proposed minimum thresholds on DACs? If so, please indicate in the notes for which sustainability indicators (i.e., Groundwater levels, Water Quality).","minimum threshold, disadvantaged communit*, DAC, groundwater levels, water quality, groundwater quality",Not Applicable,,,
,,Tribes,1,"Does the GSP evaluate the cumulative or indirect impacts of proposed minimum thresholds on Tribes? If so, please indicate in the notes for which sustainability indicators (i.e., Groundwater levels, Water Quality, Interconnected Surface Waters).","minimum threshold, disadvantaged communit*, DAC, tribal, tribe, groundwater levels, water quality, groundwater quality",No,,,
,,Ecosystems,1,"Does the GSP evaluate the cumulative or indirect impacts of proposed minimum thresholds on GDEs or environmental beneficial users of surface water? If so, please indicate in the notes for which sustainability indicators (i.e., Groundwater levels, Water Quality, Interconnected Surface Waters).","minimum threshold, groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, environmental beneficial user, instream, groundwater levels, water quality, groundwater quality, depletion of surface water ISW",Somewhat,"Beneficial uses and users of groundwater storage include maintenance of interconnected surface water and associated groundwater dependent ecosystems (GDEs) and municipal, industrial and other groundwater users. The MTs for groundwater levels are based generally on operational considerations for wells, which recognizes that groundwater has been and is being used reasonably for the range of beneficial uses even during droughts. The storage minimum threshold is consistent with the water level minimum threshold, which means that available storage will be adequate to supply beneficial uses as long as water levels remain above their minimum thresholds.
The Minimum Threshold for depletion of interconnected surface water is the amount of depletion that occurs when the depth to water in wells near areas supporting phreatophytic riparian trees is greater than 35 feet for a period exceeding one year.","6-17 / 6.3.6.3
6-36 / 6.7.6","interconnected surface water, they set MT:depth to water near areas supporting Phreatopic is greater than 35 feet."
,Measurable Objectives,Drinking Water Users,2,Does the GSP consider Drinking Water Users when establishing measurable objectives?,"drinking water users, domestic, measurable objective, water quality, groundwater quality, contaminent, constituent of concern, COC",No,"Measurable Objectives are defined in this GSP using the same metrics and monitoring data as used to define MTs and are established to maintain or improve groundwater quality. Given uncertainties presented by data limitations, a reasonable margin of safety includes the possibility of “negative” monitoring results while positive progress is being made. The Measurable Objective for TDS is defined as maintaining or reducing 5-year average concentration in the Basin below the TDS Secondary MCL (1,000 mg/L) based on conditions documented in the Annual Reports. The Measurable Objective for nitrate is defined as maintaining or reducing the 5-year average concentration in the Basin below the nitrate as nitrogen MCL (10 mg/L) based on conditions documented in the Annual Reports.",,"No mention of drinking water users, They have set MO for beneficial users. Their goal is to maintain or reduce secondary MCL. which is high for MO of drinking water users"
,,DACs,2,Does the GSP consider DACs when establishing measurable objectives?,"measurable objectives, disadvantaged communities, DAC",Not Applicable,,,
,,Tribes,2,Does the GSP consider Tribes when establishing measurable objectives?,"measurable objectives, tribal, tribes",No,,,
,,Ecosystems,2,Does the GSP consider GDEs when establishing measurable objectives?,"measurable objectives, groundwater dependent ecosystems, environmental beneficial user",No,"The measurable objective for interconnected surface water is an amount of depletion that is less than the amount specified as the minimum threshold. Given the uncertainty in the correlation between groundwater levels and vegetation health, no specific rise in shallow groundwater levels or increase in stream flow is identified as providing a preferred set of GDE conditions. Groundwater conditions with respect to interconnected surface water and most GDE parameters are currently sustainable. Therefore, no interim milestones are needed to achieve sustainability at this time.",6-39 / 6.7.7,They say it is already sustainable so they don't purpose anything for this part./Somewhat because they are not proposing any measurable objectives for GDEs in the future
MONITORING NETWORK,,DACs / Tribes / Drinking Water Users,1,"Do the Representative Monitoring Sites (RMS) in the monitoring network adequately represent water quality conditions around DACs, domestic wells, and Tribes (In the case of data gaps, evaluate proposed monitoring sites)? In the notes, please specify whether RMS for each of the contaminents identified in the basin (see line 24). Answer Yes = existing and proposed monitoring wells are adequately distributed across DAC, domestic well, and Tribal areas; Somewhat = existing and proposed RMS do not adequately cover DAC, domestic well, and Tribal portions of the basin; No = Existing and proposed RMS are not available within DAC, domestic well, and Tribal areas.","water quality, contaminents, COC, data gap, disadvantaged communit*, DAC",No,"To allow quantification and tracking of sustainability criteria, representative monitoring sites, or wells, have been identified for 1) regional groundwater level monitoring and 2) for monitoring shallow groundwater conditions where surface water-groundwater connection is likely and tied to groundwater dependent ecosystems (GDEs). These Key Wells are shown on Figure 7-1 and listed in Table 7-2. These have been designated by BCGSA asthe point at which sustainability indicators are monitored. Information on the quantitative values for MTs, MOs, and interim milestones is included in Sustainability Criteria Section 6.
As discussed in Sustainability Criteria Section 6.3, change in groundwater in storage is closely related to groundwater levels, which can serve as a proxy for monitoring change in storage. Moreover, groundwater level MTs and MOs are sufficiently protective to ensure prevention of significant and unreasonable results relating to storage. Accordingly, continued monitoring of wells for groundwater levels also serve to track sustainability for storage.
As discussed in Section 6.4, the definition of undesirable results and the quantification of the MT and MO for subsidence are based on InSAR information on vertical displacement of the ground surface; these spatial and temporal data are publicly available from DWR. 
Section 6.5 discusses seawater intrusion, which is not possible in this inland basin. Section 6.6 describes undesirable results and defines sustainability criteria for water quality.
MTs and MOs are quantified in terms of the percentage of wells with concentrations exceeding the local and state goals for nitrate and TDS based on current conditions. The BCGSA water quality monitoring wellsshown on Figure 7-2 and listed in Table 7-2 are sampled regularly to identify water quality problems and to track water quality trends.","7-10 / 7.3
Figure 7-2",No mention of domestic wells or tribes (no DACs in the basin).
,,DACs / Tribes / Drinking Water Users,1,"Do the Representative Monitoring Sites (RMS) in the monitoring network adequately represent shallow groundwater elevations around DACs, domestic wells, and Tribes (In the case of data gaps, evaluate proposed monitoring sites). In the notes, please specify any deficiencies in the distribution of representative monitoring sites (RMS). Yes = existing and proposed monitoring wells are adequately distributed across DAC, drinking wells, and tribal areas; Somewhat = existing and proposed RMS do not adequately cover DAC, drinking wells, and tribal portions of the basin; No = Existing and proposed RMS are not available within DAC, drinking wells, and tribal areas.","shallow monitoring well, data gap, disadvantaged communit*, DAC, tribal, tribe",No,"From Table 7-3 ""No shallow dedicated groundwater monitoring wells in Basin. Long well screens in monitoring wells limit vertical groundwater quality characterization""  
&&&
7.5.2. Description of Steps to Fill Data Gaps
Monitoring data gaps have been identified for shallow groundwater level measurements. Additional shallow groundwater level monitoring is required to better monitor interconnected surface water and GDEs in the Basin. The management actions the BCGSA will undertake towards filling this data gap are described in Section 8, Projects and Management Actions.
&& 
The BCGSA will develop a request for proposals (RFP) from qualified firms to conduct an initial study to evaluate the interaction of surface water and groundwater and the relationship of groundwater elevation on the health of riparian vegetation in Temescal Wash. The purpose of this study is to reduce uncertainty regarding the riparian habitat and ultimately to improve the MT and protect groundwater-dependent ecosystems. The study may involve field biological surveys, review of historical surface flows, review of historical photographs and remote sensing data, and investigation into evapotranspiration and root depth of riparian vegetation in and around Temescal Wash. It is anticipated that the work may result in recommendations for future monitoring protocols and permitting requirements for installation of piezometers or drive points close to the wash itself.","7-10 / 7.3
Figure 7-1
7-13 / Table 7-3, 8-3/8-4","
They consider shallow groundwater elevation as part of their data gaps. Does not propose new monitoring network in Projects and management actions that can be evaluated. "
,,Environment,1,Does the GSP include a plan to identify and fill shallow monitoring well data gaps around GDEs and ISWs in the monitoring network?,"shallow monitoring well, data gap, groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE ",Somewhat,"However, uncertainties exist as summarized below: • The geographic distribution of wells in the groundwater level monitoring program is uneven. • Information on vertical groundwater gradients is lacking and groundwater levels in shallow wells may not be represented adequately by relatively deep wells. • The specific location, status, and construction of most existing private wells is not known, or the information is not readily available (in databases). These uncertainties have been recognized and are being addressed in this GSP as follows: • Mapping and prioritization of geographic gaps in the monitoring program. • Installation of two new dedicated monitoring wells sited and designed to support the groundwater level monitoring program (among other objectives) and to become Key Wells. • Identification and mapping of existing active private production wells within the Basin, as described in Section 8 Projects and Management Actions. The benefits of these efforts will accrue over the next few years and will support review and update of the MTs in the 5-Year GSP Update in 2027.
&&  
Shallow monitoring wells are needed in riparian areas to provide accurate water table information and elucidate the relationship between deep water levels and vegetation conditions. One of the management actions in this GSP is to conduct surveys of Temescal Wash to evaluate the feasibility and need for installing shallow monitoring wells. Over time, minimum threshold groundwater elevations can be refined as a result of these surveys.  
&&
 Monitoring data gaps have been identified for shallow groundwater level measurements. Additional shallow groundwater level monitoring is required to better monitor interconnected surface water and GDEs in the Basin. The management actions the BCGSA will undertake towards filling this data gap are described in Section 8, Projects and Management Actions.
&& 
The BCGSA will develop a request for proposals (RFP) from qualified firmsto conduct an initial study to evaluate the interaction of surface water and groundwater and the relationship of groundwater elevation on the health of riparian vegetation in Temescal Wash. The purpose of this study is to reduce uncertainty regarding the riparian habitat and ultimately to improve the MT and protect groundwater-dependent ecosystems. The study may involve field biological surveys, review of historical surface flows, review of historical photographs and remote sensing data, and investigation into evapotranspiration and root depth of riparian vegetation in and around Temescal Wash. It is anticipated that the work may result in recommendations for future monitoring protocols and permitting requirements for installation of piezometers or drive points close to the wash itself.","6-9 / 6.2.6
6-38 / 6.7.6.5
7-13 / 7.5.2, 8-3/8-4","They use the term Maybe added. That's why I selected somewhat/ ""Shallow monitoring wells are needed, and said to be addressed in Section 8, but no measurable action in Section 8 specifically calls for the installation of shallow metering wells. The only mention in Section 8 is """"Permitting and regulatory process - §354.44(b)(3) Supporting information and science - §354.44(c)
If piezometers or monitoring wells will be installed as part of the project, well permits will be acquired from the County of Riverside Department of Environmental Health. """""" Clear description of need for more shallow groundater monitoring and in section 6 the plan states that there will be a mangament plan, but no PMA directly related to installing shallow monitoring wells."
,,Environment,2,Does the GSP include any plans to incorporate GDE-related biological monitoring into the monitoring network?,"GDE Pulse, NDVI, normalized difference vegetation index, biologic*, survey, vegetation, fish",Somewhat,"The BCGSA will develop a request for proposals (RFP) from qualified firms to conduct an initial study to evaluate the interaction of surface water and groundwater and the relationship of groundwater elevation on the health of riparian vegetation in Temescal Wash. The purpose of this study is to reduce uncertainty regarding the riparian habitat and ultimately to improve the MT and protect groundwater-dependent ecosystems. The study may involve field biological surveys, review of historical surface flows, review of historical photographs and remote sensing data, and investigation into evapotranspiration and root depth of riparian vegetation in and around Temescal Wash. It is anticipated that the work may result in recommendations for future monitoring protocols and permitting requirements for installation of piezometers or drive points close to the wash itself.",8-4 / 8.6,Mention of the possibility of biological surveys
