Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Sara,,,All,,"In the Basin Setting (Groundwater Conditions - Water Quality) section of the GSP, are water quality contaminants or constituents of concern (e.g., Nitrates; Arsenic, Uranium; DBCP; 1,2,3-TCP; Chromium-6; Perchlorate; Particulate Organic Carbon (POC); Brackish water (TDS; salts)) identified and mapped (distribution or contaminant plumes) within the plan area? In the Notes, please specify which contaminants or constituents of concern are present in the basin, and whether (distribution or contaminent plume) maps and trends were provided for each. Answer Yes =  contaminants are identified, mapped, and spatial trends described in the text; Somewhat = contaminants are identified and/or mapped, but not all spatial trends of contaminants are provided; No = No contaminants are / are not identified and mapped, and no spatial trends of contaminants are provided.","no = no water quality evaluation, no mapping spatially or description of temporal trends 
somewhat = Only come COCs mapped/trends describe, don't mention data for non-COCs
 yes = COC's have been clearly stated, mapped and temporal trends described, reason for high COC's have been stated","Nitrate; Arsenic, Uranium; DBCP; 1,2,3-TCP; Chromium-6; Perchlorate; Particulate Organic Carbon (POC); Brackish water; constituents of concern (COC); water quality; Contaminants",Yes,"The content of chemical constituents in the Basin highly varies on a local basis. The southern portion of the basin contains calcium-bicarbonate groundwater, while the east-central portion of the basin hasmagnesium bicarbonate water. The recent formations of Quaternary alluvium have slightly higher total dissolved solids (TDS) and chloride levels than Russian River water (Cardwell 1965). During the baseflow season (late spring to early fall) Lake Mendocino greatly influences specific conductance, total nitrate, and turbidity in the Russian River. During the wet season, Russian River water quality is influenced by stormwater flows that increase turbidity and suspended solid content along with surface runoff pollutants. The groundwater in Aquifer II has higher levels of dissolved solids than Aquifer I (Fisher, Brown, and Warne 1965). West of Redwood Valleys, wells in Aquifer II have poor water quality (Cardwell 1965). Groundwater in the Basin is generally of good quality and has relatively consistent water quality characteristics which meet local needs for municipal, domestic, and agricultural uses. Ongoing monitoring programs show that some constituents, including boron, iron, and manganese exceed water quality standards in parts of the Basin. Exceedances may be caused by localized conditions and may not be reflective of regional water quality. In addition, there are potential risks of increasing salt and nutrient conditions from agricultural and municipal uses of water. Across the majority of the Basin, salt and nutrient concentrations are below levels of concern, with no upward trends. A few isolated areas have higher concentrations. A summary of information and methods used to assess current groundwater quality in the Basin as well as key findings, are presented below. A detailed description of information, methods, and all findings of the assessment can be found in Appendix 2-F – Water Quality Assessment.&&& The assessment of groundwater quality for the Basin was prepared using available information obtained from the California Groundwater Ambient Monitoring and Assessment (GAMA) Program database, which includes water quality information collected by the California Department of Water Resources (DWR); State Water Resources Control Board (SWRCB), DDW; and the United States Geological Survey (USGS). These data were augmented with data supplied by the Department of Health Services (DHS) and data submitted to the California Integrated Water Quality System (CIWQS) by permittees. In addition to utilizing GeoTracker GAMA for basin-wide water quality assessment, GeoTracker was searched individually to identify data associated with groundwater contaminant plumes. Groundwater quality data, as reported in GeoTracker GAMA, have been collected in the Basin since 1950. Figure 45 shows the Basin boundary, locations, and density of wells with available water quality data for the GSP constituents of interest collected in the past 30 years (1990–2020). Within the Basin, a total of 176 wells were identified and used to characterize water quality based on a data screening and evaluation process that identified constituents of interest important to sustainable groundwater management.
Boron
In Aquifer I, there is only one well (Well 2310006-009, measured by DHS) with historically measured boron concentrations data and there is no exceedance from the notification level at this well. In the east-central portion of the Basin within Aquifer II, 18 wells used by the State Water Board for site cleanup purposes have historical boron concentrations data and the notification level is exceeded at all these wells. Figure 46 shows the locations of these wells along with the number of times concentrations have or have not exceeded the notification level. Additionally, Figures 47, 48, and 49 show the time series associated with boron concentrations at each of these wells. While there is no exceedance from the notification level in Aquifer I, about 67% of measured concentrations of this constituent in Aquifer II tend to exceed the notification level and 13% exceed half the notification level. All of these exceedances are locally occurring within a limited area overlaid by the City of Ukiah Solid Waste Disposal Site and the measurements have been taken due to the existence of this clean up site. However, boron concentrations below the notification level in Aquifer I and its high concentrations in Aquifer II suggest that boron is primarily a naturally occurring constituent in the Basin.$$$
Manganese & Iron
Review and analysis of historical iron and manganese concentrations show only a few exceedances from the Title 22 SMCLs in Aquifer I, which has seven wells with iron and manganese concentrations data. These wells are mainly located in the southern half of the basin. Exceedances from iron SMCL in Aquifer I occur at a well east of the City of Ukiah close to the main stem of the Russian River and another one in the southern part of the basin (Figure 50(A)). The latter well also shows exceedances from manganese SMCL. Concentrations of iron and manganese tend to frequently exceed their corresponding SMCLs in Aquifer II in the east-central portion of the Basin, in both North and South of Lake Mendocino. About 75% of measured concentrations exceed the SMCLs for iron and approximately 84% of measured concentrations exceed the SMCLs for manganese, while there are about 10% exceedance from half SMCLs for these constituents. Figures 50(B) and 51 show the location of these wells and number of exceedances. Similar to boron, relatively low number of exceedances from iron and manganese SMCLs in Aquifer I against significantly more frequent exceedances in Aquifer II suggests that these constituents are primarily naturally occurring in the Basin.$$$ 
NItrate
There is generally no water quality concerns associated with nitrate concentrations within the Basin. While wells measuring nitrate concentration screened in Aquifer I are mainly located in the southern half of the Basin, those screened in Aquifer II cover the east-central portion of the Basin. Aside from a few instances when nitrate concentrations exceed half the MCL, there is no exceedances from the nitrate MCL within the Basin. Figure 52 shows the location of wells with nitrate data in each aquifer and the corresponding number of measurements
 SPECIFIC CONDUCTIVITY
 Specific conductivity (electrical conductivity normalized to a temperature of 25°C) quantifies the ability of an electric current to pass through water and is an indirect measure of the dissolved ions in the water. Natural and anthropogenic sources contribute to variations in specific conductivity in groundwater. Increases of specific conductivity in groundwater can be due to dissolution of rock and organic material and uptake of water by plants as well as anthropogenic activities including the application of fertilizers, discharges of wastewater and discharges from septic systems or industrial facilities. High specific conductivity can be problematic as it can have adverse effects on plant growth and drinking water quality. Except for a few slight exceedances from the Recommended Levels of SMCL for specific conductivity in Aquifer II, there is generally no exceedances in the other aquifers across the Basin. The two wells at which specific conductivity exceeds the SMCL are located just North of Lake Mendocino as shown in Figure 53. Figure 54 shows the corresponding time series.&&
Contaminant sites
To identify known plumes and contamination within the Basin, SWRCB GeoTracker was reviewed for active clean-up sites of all types. The GeoTracker database shows that there are open LUST Cleanup Sites, Cleanup ProgramSites and Department of Toxic Substances Control (DTSC) Cleanup Sites within the Basin. A brief overview of notable information is provided below; however, an extensive summary for each of the contamination sites is not presented. && The main constituents of concern due to contamination plumes in the Basin are PCE and contaminants associated with releases of gasoline including fuel oxygenates including methyl tertiary butyl ether (MTBE) and benzene, toluene, ethylbenzene and xylenes (BTEX), as well as lead scavengers including ethylene dibromide (EDB) and 1, 2-dichlororethane. There are nine open LUST sites throughout the Basin, with seven of the nine sites in or near the City of Ukiah. These sites include retail locations, service stations and the City of Ukiah Corporation Yard. The status of the open sites ranges from site assessment to eligible for closure. && Cleanup program sites are regulated by the SWRCB’s Site Cleanup Program or a NCRWQCB program and encompass a wide variety of site types and constituents of concern. There are 18 open cleanup program sites within the Basin, with most sites concentrated in or near the City of Ukiah. These sites include cases that have been open dating back to 1981, with three of the 18 sites opened in the last decade. The primary potential contaminants of concern listed at these sites include 1,1,1-trichloroethane (TCA), other chlorinated hydrocarbons, tetrachloroethylene (PCE), polynuclear aromatic hydrocarbons (PAHs), gasoline, diesel and other petroleum, non-petroleum hydrocarbons, BTEX compounds, arsenic, chromium and copper. Seven of these sites are open and inactive, meaning that while the sites are open no regulatory actions are currently being conducted by the Lead Agency, the NCRWQCB. Three of these sites are in the project phase of site assessment, two are under assessment and interim remedial action and two are eligible for closure.

. 
","Page 128, 130, 134, 139, 142, 144, 147/  2.2.2.4 
Figure 46 thru 55
","1. Are all concerning constituents identified as COC's? Yes, Boron, Iron, Manganese
2. Are the COC's mapped? Yes
3. Is there spatial trend data for all COC's? Yes
4. Are constitues which are not of concern identified? Yes
5. Is there a data gap/ Or not enough data related COC's? No,  They are aware of location of the COC's

They refrence Appendix 2F, which is still under review.
They have been gathering data since 1950, however they have mapped it temporraly since 1990, from 176 wells. The constitue of concerns are, boron, Iron, manganese, (However for these they say it is naturally occuring, although it is close to waste center), And specific conductivity. 
Better map legends are needed for Figure 46,50,51,52. The red color is not defined in legend (I assumed it is the pink color), Boron is being sampled in only one location. Although they mention 176 wells data is being studied but it is not well dispereced throughout the basin.
with Geotracker they somehow know about their contamination sites, and there are cleanup program through SWRCB, This basin in one part is highly contaminated refer to Figure 55. However at the end they conclude that non of contaminant areas affect aquifer?!! (Although I gave yes to this question, however figures needs to change and they need a wider locations of monitoring gw quality locations)


",,
Martha,,,DACs,2,"Does the GSP identify the sources of water for DACs (e.g., what percentage is supplied by groundwater?","No= no mention fo DACs and their source
Somewhat= general reference to DACs, and general source reference
Yes=Explicit naming of DAC & Source","Disadvantaged Communit*, DAC",No,"The Ukiah Valley Groundwater Sustainability Agency (UVBGSA) is the sole Groundwater Sustainability  Agency (GSA) for the Basin and is responsible for the entire area covered by this GSP ( Figure 1). UVBGSA consists of the County of Mendocino (County), the City of Ukiah, the Upper Russian River Water Agency, and the Russian River Flood Control and Water Conservation and Improvement District (RRFC) (Figure 3). The County exercises land use authority on the land overlying the Basin. The City of Ukiah (City) is a local municipality that exercises water supply, water management, and land use authority within the City’s boundaries. The upper Russian RiverWater Agency is a joint powers authority (JPA) representing Millview County Water District, Willow County Water District, Calpella County Water District, Redwood Valley Water District,
 and Ukiah Valley Sanitation District within the Ukiah Valley Basin. The RRFC is a special district created by State Statute (State of California Statue § Act 4830) that exercises water supply and water management authority within the Basin. Rogina Water Company also provides water supply within the Basin but is not aGSA member. The boundaries of these agencies and UVBGSA are shown in Figure 3.",2021-02-13 00:00:00,The GSP lists water suppliers in the Basin but does not specify or identify water sources of water for DACs. ,,
Becky,BASIN SETTING,Interconnected Surface Waters (ISW),Environment,1,"Are gaining and losing reaches adequately assessed spatially and temporally (e.g., groundwater levels (from proximate wells to streams and sufficient density of wells along streams) compared with stream elevation; numerical modelling)? If so, please describe the approach used in the Notes. "," no map or description = no
1)includes map but data from one point in time was used, 2)includes map but no clear description of methodology = somewhat
 ISW map and ISWs were delineated using multiple water year types AND description of temporal variability= yes","Interconnected surface water, ISW, gaining, losing",Somewhat,"Because the water table in parts of Ukiah Valley can be relatively shallow, the Russian River surface water network contains several miles of stream channel that are connected to groundwater, especially along its mainstem. The direction of flow exchange (i.e., gaining vs losing stream reaches) varies over both space and time. 
&& To identify river reaches that are interconnected to groundwater,assumed streambed elevations were compared to representations of groundwater elevations above mean sea level. 
&&  Mapped representations of interpolated groundwater elevation abovemean sea level (amsl) were developed using ordinary kriging and observed groundwater elevations obtained from the Periodic Groundwater Level Database.11  A total of 12 gridded representations of groundwater elevations were developed for spring and fall seasons between the spring of 2015 and the fall of 2020 as sufficient groundwater level data to carry out an analysis is available during this timeframe. These groundwater elevations provide the best available representation of relatively modern depths to groundwater given the somewhat extensive data gaps and data availability limitations in the Ukiah Basin pending estimates from the groundwater flow model in development., The zonal statistics function was then used again to calculate the average groundwater elevation for each 10-meter diameter circle corresponding to a stream centerline. Assumed streambed elevations were then compared to assumed groundwater elevations for each of the 12 spring and fall seasons between the spring of 2015 and the fall of 2020. 
&& An additional analysis was carried out to account for the assumed presence of saturated zones by applying reasonable thresholds based on the location of the watershed and the broader geological setting. An  assumed saturated zone depth threshold of 10 feet was applied to the main stem of the Russian River with a threshold of 5 feet applied to tributaries effectively reducing the elevation of connection for each stream centerline point in the initial analysis by that amount. For this saturated zone threshold analysis, if the  representation of groundwater elevation was within 5 feet of the assumed streambed elevation for a tributary, that stream centerline point was assumed to be connected. Interconnected and disconnected surface water classifications for each buffered point area were translated to lines by assigning the 50-meter-long  streambed segment upgradient of each point the classification assigned to the point at its downstream end.",Page 151 - 152 / 2.2.2.6,"1. Is there a clear map of ISWs? Yes
2. Was temporal variability and used and described? Yes
3. Methods: Are there sufficient data (well locations in proximity to streams, well density, screening depths) to inform assessment? No

Decent analysis of ISWs. Interpolated groundwater elevations were compared with assumed streambed elevations to identify ISWs. Additional analysis looked at saturated zone to determine where presumably losing reaches are located. The plan does not include a description or map of the sptatial extent of groundwater monitoring used to produce the interplated groundwater elevation and screening depth is not discussed. There is lack of description of gaining/losing reaches.",,
Becky,,,Environment,1,"Are the conclusions of ISWs (e.g., no ISWs, some gaining/losing/disconnected) consistent with the assessment? Please describe details in the Notes.","1) no conclusions due to lack of data 2) vague and contradictory conclusions that do not make sense with the assessment 3) concrete conclusions made off of little to no evidence or data. = no
conclusions lacks some detail and evidence to support claims = somewhat
 the conclusions are coherent with the analysis and available data= yes","Interconnected surface water, ISW, gaining, losing",Yes,"This analysis showed that 72% of the 50-meter long streambed segments are not connected to groundwater during any of the fall representations of groundwater elevations with 63% of the reaches similarly not connected in any of the spring groundwater elevation representations. The results of this analysis, therefore, suggest that 28% of the 50-meter streambed segments are connected to groundwater and therefore ISWs in fall and with 37% of the streambed segments connected to groundwater during one or more representation in the spring. For the purposes of this analysis, ISWs are reaches assumed to be connected to ground water in fall or spring though groundwater conditions in the spring appear to drive the ISW determination.  Assumed ISWs for the Ukiah Basin are for all fall and spring representations of groundwater conditions and are presented in Figure 57 and Figure 59, respectively. The distribution of assumed ISWs for groundwater representations in all seasons is presented in Figure 59. This ISW characterization relying on the relationship between assumed streambed and groundwater elevations was further refined based on best professional judgment to more effectively reflect the conceptual understanding of the surface water conditions along the mainstem of the Russian River and recognize the extensive data gaps in observed groundwater conditions, streambed elevations, tributaries and mainstem streamflows. The distribution of assumed ISWs presented in Figure 59 suggests that a few segments of the mainstem of the Russian River is not an ISW based on the relationship between the assumed riverbed and groundwater elevations. These segments of the Russian River mainstem were reclassified as assumed ISW based on feedback from stakeholders and anecdotal observations of river flows.  This revised and reclassified representation of the distribution of assumed ISWs was translated to classes of “likely ISW” and “unlikely ISW” to reflect the inherent uncertainty of the datasets used to complete the analysis including assumed representations of the locations of surface water streambeds in tributaries to the Russian River and groundwater conditions.",Page152 / 2.2.2.6,"1. Are ISWs mapped in the basin? yes
2. Is the mapping consistent with the assessment? yes

Precentage of connected surface water in both fall and spring are preseneted in text and figures 57 and 59. Again, no map or description of gaining/losing, but conclusions seem to be consistent with assessment. Stakeholder knowledge and projessional judgement were also used. ""likely ISW"" and ""unlikely ISWs"" were presented in the final map (figure 60) to account for uncertainty in analysis.",,
Becky,,,Environment,1,"Are all shallow principal aquifers acknowledged in defining ISW? Note: if there is only one unconfined aquifer in the basin, consider this aquifer as the shallow aquifer.","no aquifers are acknowledged; shallow aquifer is acknowledged, but not considered principle for reasons like not the main pumping aquifer = no
All principal shallow aquifers are not acknowledged in ISW section (if multiple exist) = somewhat
Adequate data from shallow aquifer(s) is used in defining ISWs and all principal shallow aquifers are acknowwledged= yes","principal aquifer, shallow ",Somewhat,"Because the water table in parts of Ukiah Valley can be relatively shallow, the Russian River surface water network contains several miles of stream channel that are connected to groundwater, especially along its mainstem. The direction of flow exchange (i.e., gaining vs losing stream reaches) varies over both space and time.",Page 151 / 2.2.2.6,"1. Are all shallow aquifers acknowledged in the ISW section (if multiple exist)? somewhat - There are two principal aquifers in the basin (shallow quaternary alluvium and terrace deposits and continental basin deposits). The ISW section does not expllicitely discuss where the groundwater data is sourced from, although it is assumed from the shallow alluvium that surrounds the Russian River and its tributaries. 
2. Does the plan consider the shallow aquifer(s) as principal aquifer(s)? yes

",,
Becky,,,Environment,2,Were data gaps identified when mapping ISWs?,"no data gaps identified when there is an obvious lack of data = no
1) Vague and/or confusing mention of lacking information 2) Mention of ISW data gaps in separate section in GSP. = somewhat
Clear description of where data gaps exist (temporally and spatially) in ISW section or Data Gaps Section following the assessment= yes","Interconnected surface water, ISW",Yes,"In addition, the Russian River mainstem and some of its tributaries, mostly south of Lake Mendocino, have been historically incised. The spatial extent of this incision is not known accurately, currently, and is considered a data gap and a source of uncertainty for this analysis. Tributaries in the northern portion of the basin where data gaps are most pronounced were classified as assumed ISW in the automated spatial analysis comparing streambed and groundwater elevations. Representations of streambed locations assumed streambed elevations, and groundwater elevation in these areas toward the boundaries of the Basin are considered preliminary and will be revised as data gaps are addressed and the conditions are more comprehensively understood.",Page 152-153 / 2.2.2.6,"1. Were data gaps identified? yes
2. Were the data gaps identified in the ISW section? yes

Data gaps are clearly identfied.",,
Becky,,,Environment,2,"In the case of data gaps and uncertainty, were streams mapped and described as potential ISWs in the GSP? If ISWs are adequately mapped and there is no uncertainty in the ISW mapping, then select ""Not Applicable"".","no description or map of potential ISWs = no
1) partial inclusion of potential ISWs 2) only a description but no map or vice versa = somewhat
All uncertainties and data gaps are clearly described and mapped temporarily and spatially= yes","Interconnected surface water, ISW, data gap",Yes,An estimated 45% of assumed 50- meter long stream and river bed segments were classified as likely ISW following the revision of the Russian River mainstem leaving 55%of surface water segments as unlikely ISW. The spatial distribution of likely ISW representing the ISW characterization within the Ukiah Basin is presented in Figure 60,Page 153 / 2.2.2.6; Figure 60,"1. Is there a map AND description of pGDEs? Yes - Figure 60 presents ""likely ISW"" and ""unlikely ISW""",,
Becky,,Groundwater Dependent Ecosystems (GDE),Environment,1,"Is there an inventory, map, or description of fauna (e.g., birds, fish, amphibian) and flora (e.g., plants) species or habitat types in the basin's GDEs? Please indicate in the notes if threatened and endangered species are identified in the GSP.","No description of flora and fauna in GDEs = no
1) lacking in either maps/description/inventory of flora and/or fauna 2) no mention of endandgered/threatened species= somewhat
Detailed inventory, maps, or description of flora AND fauna in GDEs. Also, Inclusion of any threatened and/or endangered species in the basin.= yes","groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, habitat, species",Yes,,Table 22; Figures 62-65; Figures 66-67,"1. Does the plan present the flora AND fauna in the basin's GDEs? Habitat types (in GDE section or related appendix)? yes
2. Does the plan acknowledge endangered/threatened/special status species in GDEs? yes

Table 22 lists the endangered, rare, and special status species in the basin, including fauna and flora. Figures 62-65 present the species of special concern habitat suitability. Figure 66 presents the spatial distriibuiton of NC dataset vegetation types and figure 67 presents the spatial distribution of assumed wetland types in basin.",,
Becky,,,Environment,1,"Were GDEs in the basin identified (mapped) and described in the GSP using best available data (e.g., NC dataset, localized VegMap data)? Please describe which data were used in the Notes.","No map of GDEs (or wetlands, riparian veg, etc.) = no
1) Map of NC dataset polygons with NDMI but no specific GDE maps, 2) Maps of GDEs but unclear data/methods used = somewhat
GSP used NC dataset or a localized vegMap to describe and map GDEs = yes","groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, NC dataset, VegMap",Yes,"The primary resource used to establish the spatial extent of mapped GDEs is the Natural Communities Commonly Associated with Groundwater (NCCAG) dataset.

&& An initial review of NCCAG mapped potential GDEs for the Ukiah Basin and a comparison to available land use mapping resources suggested that riparian communities were not effectively represented in some cases and mapped GDEs were identified in urban, agricultural, or managed vegetated areas. A subset of mapped lands use and land cover (LU/LC) and crop mapping datasets from the California Department of Water Resources (DWR) were incorporated into the analysis to more effectively represent mapped potential GDEs for the Ukiah Basin.

&& Assumed Rooting Zone Depths Rooting zone depths were assigned to all combined or concatenated values for the NCCAG vegetation, NCCAG wetland, and combined DWR LU/LC and crop mapping for Mendocino County using a simple decision tree approach.

&& This subsection discusses the method used to evaluate the relationship between assumed rooting zone depths and depth to groundwater for each mapped potential GDE area.","Page 167 / 2.2.2.7

&& Page 167 / 2.2.2.7

&& Page 168 / 2.2.2.7

&&& Page 169 / 2.2.2.7","1. Is there a map? Yes
2. Is there a description of data sources and processing? (describe in notes) yes

NC dataset used to map pGDEs",,
Becky,,,Environment,1,Was depth-to-groundwater data from the underlying principal aquifer used to verify the NC dataset?,"No groundwater depth data described = no
Groundwater measurements used but lack of detail in describing depth to groundwater data. Also there might be a lack of information on which aquifer the data is from. = somewhat
depth to groundwater is clearly used and description of spatial/temporal data is included = yes","groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, NC dataset, depth to groundwater",Somewhat,"Mapped representations of depth to groundwater were calculated consistent with the standard approach (e.g., TNC Best Practices for using the NC Dataset, 2019), as the difference between land surface elevation and interpolated groundwater elevation above mean sea level. Interpolation was carried out using ordinary kriging (Wackernagel 1995), and observed groundwater elevations were obtained from the Periodic Groundwater Level Database.16  Altogether, depth to groundwater conditions were developed for 12 seasons (spring and fall) between spring of 2015 and fall of 2020, as sufficient groundwater level data is available during this timeframe. These depths to groundwater provide the best available representation of relatively modern depths to groundwater, pending estimates from the groundwater flow model in development.",Page 169 / 2.2.2.7,"1. Is data from shallowest principal aquifer used? somewhat -unsure
2. Is there a description of the data (in GDE section or related appendix)? (spatial, temporal, proximity to GDEs?) somewhat - Groundwater elevations were interpolated then zonal statistics were performed to create an area weighted statistical analysis of depth to groundwater. This was then compared to rooting depths in each potential GDE polygon.There are no details about which aqfuier the groundwater measurements come from. Groundwater data is described temporally, but there was no description or map of spatial extent of groundwater monitoring data points used in GIS spatial analysis. Also, no description of screening depth of groundwater wells used in analysis.","1. Is data from shallowest principal aquifer used? 2. Is there a description of the data? (spatial, temporal, proximity to GDEs?)",
Becky,,,Environment,2,"Did the GSP avoid using any of the following criteria when deciding whether or not to remove NC dataset polygons from the final GDE map?: 1)Presence of Surface Water, 2)Distance from agricultural fields, 3)Principal aquifer was not considered main pumping aquifer, 4)Other?  If so, please specify in the Notes. ","GSP uses one of the above criteria (or other illogical reason) to remove a potential GDE = no
Unclear whether or not plan used these criteria . = somewhat
The GSP does not include any of these criteria to remove a NC dataset polygon = yes","groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, NC dataset",Somewhat,Retain Natural Combined DWR LU/LC and crop mapping indicates natural vegetation present. Retain Check Combined DWR LU/LC and crop mapping indicates natural vegetation may be present therefore retain or verify before removing Remove Ag Combined DWR LU/LC and crop mapping indicates agricultural land is present which could warrant polygon removal. Remove Urban Paved Combined DWR LU/LC and crop mapping indicates urban/paved land is present which could warrant polygon removal Check Remove Irrigated Combined DWR LU/LC and crop mapping indicates non-native irrigated land is present which could warrant polygon removal.,From Table 24 on page 168 / 2.2.2.7,"GDEs are refined by using land use cover and crop mapping datasets from DWR. From Table 24 and table 2-G-5 in appendix 2G, it is unclear if the plan removed NC dataset polygons based on the presence/proximity of irrigation. ",,
Becky,,,Environment,2,"Were multiple water year types (e.g., wet, average, dry) of groundwater level data used to characterize groundwater conditions in the GDEs? If so, please indicate which years and water year types in the Notes.","Only 1 year of data or no data used to characterize gw conditions in GDE = no
The plan lacks a description of multi-year groundwater level data and/or only post-drought or post- SGMA benchmark data is used (after 2015)  = somewhat
1. Detailed explanation of the multi-year groundwater data used and 2. groundwater data from prior to recent drought = yes","groundwater conditions, groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, depth to groundwater, depth to water",Somewhat,"Altogether, depth to groundwater conditions were developed for 12 seasons (spring and fall) between spring of 2015 and fall of 2020, as sufficient groundwater level data is available during this timeframe. These depths to groundwater provide the best available representation of relatively modern depths to groundwater, pending estimates from the groundwater flow model in development",Page 169 / 2.2.2.7,"Note: water year type does not need to be explictely mentioned when groundwater data used multiple years of known wet and dry periods

Multiple years of groundwater data used, but all data from after SGMA benchmark",Note: water year type does not need to be explictely mentioned when groundwater data used ranges multiple years of known wet and dry periods,Changed from somewhat to yes because the years of groundwater data used include drought and wet years
Becky,,,Environment,2,Were depth-to-groundwater measurements under GDEs corrected for land surface elevations?,"depth to water measurements interpolated from wells = no
Model is said to use groundwater elevations, but did not state that they corrected for land surface elevation = somewhat
It is explicit that groundwater measurements used to verify GDEs are correct for land surface elevation = yes","DEM, digital elevation model, land surface elevation, depth to groundwater, GDE, groundwater dependent ecosystem",Yes,"Mapped representations of depth to groundwater were calculated consistent with the standard approach (e.g., TNC Best Practices for using the NC Dataset, 2019), as the difference between land surface elevation and interpolated groundwater elevation above mean sea level. Interpolation was carried out using ordinary kriging (Wackernagel 1995), and observed groundwater elevations were obtained from the Periodic Groundwater Level Database. 

&& The Watershed tool within geographic information system (GIS) Esri’s ArcGIS platform was used to establish the location of likely streambeds based on topography represented by the USGS one-meter resolution digital elevation model (DEM) for Mendocino County.10 2223 A comparison of assumed stream centerlines generated through geospatial processing indicated agreement with aerial imagery. Assumed stream centerlines were translated into a discretized series of points representing a location every 50 meters along the mapped streambed. A buffer with a radius of 10 meters was applied to each point (yielding a circular area with a radius of 10 meters around each point) and the “zonal statistics  [The zonal statistics function calculates summary statistics of values within a mapped grid surface for specific areas such as the buffered circles every 50 meters along the assumed mapped stream centerlines used here.] function was used to compute the lowest elevation within the buffered area. The lowest elevation in the 1-meter DEM within that buffered area was assumed to represent that streambed elevation for that point along the assumed stream centerline. Mapped representations of interpolated groundwater elevation abovemean sea level (amsl) were developed using ordinary kriging and observed groundwater elevations obtained from the Periodic Groundwater Level Database.11  A total of 12 gridded representations of groundwater elevations were developed for spring and fall seasons between the spring of 2015 and the fall of 2020 as sufficient groundwater level data to carry out an analysis is available during this timeframe. These groundwater elevations provide the best available representation of relatively modern depths to groundwater given the somewhat extensive data gaps and data availability limitations in the Ukiah Basin pending estimates from the groundwater flow model in development., The zonal statistics function was then used again to calculate the average groundwater elevation for each 10-meter diameter circle corresponding to a stream centerline.",Page 169 / 2.2.2.7 && Page 151 / 2.2.2.6,"1. Was a digital elevation model (DEM) or Lidar data used to correct for land surface elevation? yes - DEM used 

Groundwater depths were corrected for land surface elevation when performing the interpolation. (no figures show groundwater elevation though)",1. Was a digital elevation model (DEM) or Lidar data used to correct for land surface elevation?,
Becky,,,Environment,2,Were data gaps identified when mapping GDEs?,"No data gaps identified when there likely should be = no
Vague description of a lack of data or data gaps mentioned in other section of GSP = somewhat
Clear description of data gaps (spatial and temporal) in text and/or mapped = yes","groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, data gap, shallow monitoring well, shallow aquifer",Yes,"The approach developed and carried out to identify and evaluate GDEs within the Ukiah Basin represents a conservative application of best available science through the formulation of reasonable assumptions. Representations of mapped potential GDEs were developed based on available geospatial datasets, though these resources cannot be assumed to be definitive. The vegetation classes present in the datasets outlined in the Mapped Potential GDEs section above are broad and could reasonably represent an array of vegetation types requiring the development of conservative assumptions  to guide the assignment of assumed rooting zone depths. Groundwater conditions were represented by the interpolation of observed conditions in the Basin’s well network. These interpolated groundwater elevations may not reflect smaller scale variations in conditions both in space (less than 500 meters) and time (sub-seasonal). Because the groundwater elevations used herein represent regional, seasonal trends, they cannot capture the impact of perched aquifers on GDE health. Notably, GDEs are not necessarily static and can vary in time and space depending on water year type and other environmental conditions. As such, this analysis is not intended to be a definitive cataloging of each class of GDE, but rather a survey of the maximum possible extent of above-ground, vegetated GDEs in the Ukiah Basin. A physical determination of GDEs must show that roots are connected to groundwater, which would require an infeasible subsurface geophysical survey across the Basin. In the first 5 years of GSP development, more data will be collected and used to better refine the characterization of GDEs throughout the basin. Data suggested for further improvement of characterization of groundwater levels and ISW will also provide critical information for GDEs. The current groundwater level information, for example, are too sparse in space and time to allow a less uncertain map of GDEs. In the data gap section, we will carefully highlight which new data will support better Definition of GDEs over the next 5 years.",Page 178 / 2.2.27,"1. Were data gaps identified? yes
2. Were the data gaps identifed in the GDE section? yes",,
