Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,GSP Information,Answer,Unnamed: 8,Unnamed: 9,Unnamed: 10
Lauren,,,Ecosystems,1,"Does the GSP include water demands for managed wetlands in the historic, current, and projected water budgets?","water budget, managed wetlands",Yes,"Cites C2VSimFG model report for details of the model, this was in the report: ""C2VSimFG divides all land use types into four principal classifications (non-ponded agriculture, ponded agriculture, urban, and native vegetation) and 28 operational land use categories. Within agricultural lands, individual components exist for non-ponded crops (e.g. alfalfa, orchards, corn, etc.) and for ponded crops (e.g. rice and managed wetlands). Within the native component, water use is estimated separately for native (e.g. upland) vegetation and riparian vegetation. These components are depicted in Figure 56.""

 && ""Evapotranspiration: The C2VSim model includes monthly evapotranspiration rates for each agricultural crop, urban landscaping, and native vegetation across each of the model’s 21 subregions and 210 small stream watershed groups. Evapotranspiration data has undergone multiple iterations during model development and calibration""

&&Reuse factors and return flow fractions can be refined and further adjusted to reflect different
local conditions. In flooded areas, specifically, the next phase of calibration could better
represent operational spills and deep percolation in rice fields and managed wetlands/refuges.",pg 113 & 139 & 258  of DWR report cited in GSP: https://data.cnra.ca.gov/dataset/c2vsimfg-version-1-0 ,"Yes, C2VSim does represent managed wetlands, but the do suggest that this is one area where the model could be refined.

(This GSP does have managed wetland) native grasslands. Figure 3-11 shows these native vegetation and wetlands areas (NCCAG 2018.) 755 Managed Habitat 756 Some agriculture lands are also used for habitat. Surface water is used to create “managed” habitat areas 757 for waterfowl on some of Delta islands such as Lower Jones Tract and Mandeville Island. After harvest, 758 the fields are flooded to create habitat and allow migrating waterfowl to forage for corn, wheat, and barley 759 that was not harvested."
Lauren,,,Climate Change,1,"Does the GSP incorporate climate change into the projected water budget using DWR change factors or other source? If other, please specify in the Notes. If DWR change factors were used, indicate in the Notes whether the GSP use 2030 factors, 2070 factors, or both?","water budget, climate change, change factors, 2030, 2070",Yes,"Climate Data: The precipitation and ET data from the historical simulation for the period of 1953 to 2003 were again used, but the data was adjusted based on outputs from a DWR study using climate models to predict future changes (DWR 2018). The DWR datasets provided precipitation and reference ET packaged as monthly change factor ratios to be used to perturb historical data to represent projected future conditions. The change factors are provided spatially and were applied to the historical data in the C2VSim-FG_v1.0 model. 
o DWR provided two future climate period conditions for use, including one scenario for 2030 and three scenarios for 2070 (wet conditions, central tendency, and extreme warming). The 2070 central tendency of the ensemble of general circulation models was used for this analysis. The 2070 scenarios were preferred for a long-term planning horizon, and the central tendency was selected as a reasonable projection. The other two scenarios for 2070 included wetter conditions and extreme warming. The central tendency scenario also included warmer, drier conditions, and changes in precipitation patterns, but to a less extreme degree than the extreme warming scenario.",Page 7-13 / 7.6,Climate change considered using the 2070 central tendency model
Lauren,,,Climate Change,1,"Does the GSP consider multiple climate scenarios (e.g., the 2070 wet and 2070 extremely dry) scenarios in the projected water budget? If there are other scenarios considered in the GSP, please specify in the Notes.","projected water budget, 2070",No,"Climate Data: The precipitation and ET data from the historical simulation for the period of 1953 to 2003 were again used, but the data was adjusted based on outputs from a DWR study using climate models to predict future changes (DWR 2018). The DWR datasets provided precipitation and reference ET packaged as monthly change factor ratios to be used to perturb historical data to represent projected future conditions. The change factors are provided spatially and were applied to the historical data in the C2VSim-FG_v1.0 model. 
o DWR provided two future climate period conditions for use, including one scenario for 2030 and three scenarios for 2070 (wet conditions, central tendency, and extreme warming). The 2070 central tendency of the ensemble of general circulation models was used for this analysis. The 2070 scenarios were preferred for a long-term planning horizon, and the central tendency was selected as a reasonable projection. The other two scenarios for 2070 included wetter conditions and extreme warming. The central tendency scenario also included warmer, drier conditions, and changes in precipitation patterns, but to a less extreme degree than the extreme warming scenario.",Page 7-13 / 7.6,"Other models acknowledged, but only 2070 central tendency model used in GSP's projections"
Lauren,,,Climate Change,2,Does the GSP incorporate climate change into precipitation inputs for the projected water budget?,"projected water budget, precipitation, input",Yes,"
Climate Data: The precipitation and ET data from the historical simulation for the period of 1953 to 2003 were again used, but the data was adjusted based on outputs from a DWR study using climate models to predict future changes (DWR 2018). The DWR datasets provided precipitation and reference ET packaged as monthly change factor ratios to be used to perturb historical data to represent projected future conditions. The change factors are provided spatially and were applied to the historical data in the C2VSim-FG_v1.0 model.","7-13 / 7.6
Figures 7-6--7-10
Tables 7-6--7-10
Tables, Appendix M",The GSP incorporated the 2070 central tendency change factors for precipitation. 
Lauren,,,Climate Change,2,Does the GSP incorporate climate change into evapotranspiration inputs for the projected water budget?,"projected water budget, evapotranspiration, ET, input",Yes,"Climate Data: The precipitation and ET data from the historical simulation for the period of 1953 to 2003 were again used, but the data was adjusted based on outputs from a DWR study using climate models to predict future changes (DWR 2018). The DWR datasets provided precipitation and reference ET packaged as monthly change factor ratios to be used to perturb historical data to represent projected future conditions. The change factors are provided spatially and were applied to the historical data in the C2VSim-FG_v1.0 model.","Page 7-13 / 7.6
Figures 7-6--7-10
Tables 7-6--7-10
Tables, Appendix M",The GSP incorporated the 2070 central tendency change factors for ET
Lauren,,,Climate Change,2,"Does the GSP incorporate climate change into surface water flow inputs (e.g., imported water, streamflow) for the projected water budget?","projected water budget, surface water flow, input",Somewhat,"For the projected with climate change water budget, the model was modified using publicly available climate change projections for evapotranspiration (ET) and precipitation, while maintaining the projections for development and corresponding surface water deliveries. As with the projected water budget, this simulation was performed to represent the 2016-2065 hydrologic period (a 50-year projection).
&&&
The annual total inflows, outflows, and cumulative change in storage for the projected period are shown on Figure 7-6. Table 7-6 contains the summary of the annual water budget averages from 2016 to 2065 with climate change. Detailed tables showing annual inflows and outflows are include in Appendix M. The composition of inflows and outflows is very similar to the projected period. However, the key difference is the average annual pumping increased to over 50 percent of the total outflows (up from 45%), and the deep percolation decreased to 40 percent (from 45%). The reasons for this shift in the water budget are attributed to increases in ET (due to warmer and drier temperatures) and shifting patterns in precipitation. The resulting average surplus for the projected with climate change water budget is 1,000 AFY.","7-4/7-5, 7-13 / 7.6
Figures 7-6--7-10
Tables 7-6--7-10
Tables, Appendix M","Climate change impacts to surface water flow was incorporated via simulation in the numerical model  with precipiation and ET DWR climate change factors applied. However, it appears as though surface water deliveries were not adjusted for climate change. "
Lauren,,,Climate Change,2,Does the GSP incorporate climate change into sea level inputs for the projected water budget?,"projected water budget, sea level, input",Not Applicable,,,Seawater intrusion not considered a concern at this time 
Lauren,,,Climate Change,2,Does the GSP calculate a sustainable yield based on the projected water budget with climate change incorporated?,"sustainable yield, projected water budget",No,"A base period was selected to estimate the sustainable yield that have the following conditions: 
• As recent time period as possible to reflect current conditions. 
• Precipitation is close to the long-term average. 
• Prior to the start and end of the base period the cumulative departure from normal has a similar slope such that water in transit in the vadose zone is approximately equal and the period contains at least one wet period and dry period. 
These conditions were met, based on Figure 7-2, and a base period of 2003 to 2013 was selected. This base period was also selected by the Northern Delta-Mendota GSP as their representative base-period. Other adjacent subbasins selected other base periods due to local climatic conditions. 
The average quantity of groundwater extracted during the base period was 178,000 AFY for the entire Subbasin. The average quantity of groundwater extracted during the base period for just the Non-Delta Management Area was 62,100 AFY. During this period undesirable results, as currently defined, were not observed by the GSAs. Groundwater levels provided in Appendices G and H show stable or upward trends in groundwater levels during this period of time. 
The sustainable yield can be increased if conjunctive use projects are implemented to increase recharge to the Subbasin. The annual reports and 5-year update will document any conjunctive use changes or revisions to this GSP.",Page 7-20 / 7.7,Sustainable yield is based off a 10-year period (2003-2013) without any mention of incorporating climate change modeling into current or future SY
Sara,SUSTAINABLE MANAGEMENT CRITERIA,Undesirable Results,Domestic,1,Does the GSP analyze direct or indirect impacts on domestic drinking wells when defining Undesirable Results for 1) Chronic Lowering of Groundwater Levels and 2) Water Quality (See line 24)?,"domestic well, drinking water, undesirable result, groundwater levels, water quality, groundwater quality",Yes,"Groundwater beneficial users include humans, native plants, and aquatic species. Groundwater in the Subbasin is used by rural homeowners, agricultural users, and municipal entities for drinking water, industrial users for manufacturing or processing food, and environmental uses for ecosystems supporting groundwater dependent plants and species. The GSAs approached definition of undesirable results and what is considered to be significant and unreasonable, through a discussion of potential undesirable results by the GSAs and along with a  workshop to seek stakeholder input on January 21, 2021, as documented in Chapter 11 – Notices and Communications.$$$
The criteria used to define significant and undesirable results by chronic lowering of groundwater levels are: Domestic and irrigation wells go dry (lowering pumps, cost to construct new wells) Increased costs to pump groundwater (including power, lowering or replacement of pumps, and new motors) Surface water is depleted such that creeks go dry (in periods other than severe climate conditions) Groundwater supported vegetation die or cannot repopulate (reduction or elimination of GDEs) Groundwater quality is degraded by increasing the salt content (lowering of groundwater levels increases and changes in pressure allows saline water from underlying marine sediments to increase and intrude into freshwater aquifers Groundwater quality becomes unusable because contaminants spread vertically and horizontally (contaminants from the large and known plumes spread and degrade water quality so that it cannot be used without treatment)&&&
Salinity, as represented by TDS, is relatively high in the Subbasin ranging from 82 mg/L to as high as 4,500 mg/L (see Appendix H) using samples collected by DWR, USGS and from PWS wells. Upward trends are present in 11 out of 56 monitoring and public supply wells (refer to Chapter 5.6.2 -  Groundwater Quality Trends). 
TDS has established secondary drinking water MCLs which were established for aesthetic reasons such as taste, odor, and color and are not based on public health concerns. TDS has a recommended drinking water MCL of 500 mg/L, an upper level of 1,000 mg/L and a short-term standard of 1,500 mg/L. TDS  tolerance levels for agricultural is generally less than 1,000 mg/L as shown in Table 9-2. TDS in the Subbasin is mostly above the recommended MCL in both the Upper and Lower aquifers except for a few areas with good quality water as shown on Figure 5-19. TDS in some areas is above the upper MCL but 3928 mostly less than the agricultural tolerance levels. 
There are over 120 public supply wells in Subbasin that are overseen by the State Water Board’s DDW, but currently well construction details are few to be able to sort the data by aquifer. Water purveyors have managed to find aquifers that provide water that is above the recommended secondary MCL of 500 mg/L but below the upper MCL of 1,000 mg/L in most of the Subbasin, but in the City of Lathrop water quality is better and is typically below the recommended MCL. The average TDS in PWS wells in the Subbasin is 766 mg/L. Sources of high salinity are from stormwater runoff from the Coast Ranges, underlying marine sediments, evaporation of shallow groundwater and from agricultural activities.

Nitrate concentrations are low in the Subbasin, as shown on Figure 5-23, and other than a few wells, nitrate does not appear to be adversely impacting water quality, but upward trends are present in 24 out of 
120 monitoring and public supply wells (refer to Chapter 5.6.2 – Groundwater Quality Trends). The primary drinking water standard is 10 mg/L. Both salinity and nitrates are being managed through existing management and regulatory programs within the Subbasin, such as the CV-SALTS and the ILRP, which  focus on improving water quality by managing septic and agricultural sources of salinity and nitrate.
The most prevalent sources of boron in drinking water are from the leaching of rocks and soils, wastewater, and fertilizers/pesticides. In the Non-Delta Management Area, portions of the Upper and Lower aquifers boron commonly exceed 1.0 mg/L. Boron is an unregulated chemical without an established MCL but has a Notification Level of 1.0 mg/L. 
Boron is essential to plant growth but may be toxic to many sensitive plants. The agricultural water quality objective for boron in irrigation water is 0.7 mg/L (Ayers and Westcot, 1985). Table 9-2 provides a summary of the crop types grown in the Subbasin and boron tolerances to irrigation water containing boron. As shown in the table there is no one predominant crop type in the Subbasin. 
The average boron concentration from PWS wells used for drinking water is 0.1 mg/L. Upward trends are present in only 3 out of 57 wells (refer to Chapter 5.6.2 – Groundwater Quality Trends).

Undesirable results, were determined to be significant and unreasonable for degraded water quality  are: 
The average TDS concentration in representative monitoring wells increases and exceed the  secondary upper drinking water MCL of 1,000 mg/L unless the concentration is already above the MCL 
The average nitrate concentration in representative monitoring wells to exceed the primary MCL of 10 mg/L 
The average boron concentrations to exceed the Long-Term Health Advisory level of 2.0 mg/L, in representative monitoring wells unless concentrations already are above this level 
When concentrations of TDS and nitrate in more than 25% of the representative monitoring wells  increase above the MCL, agricultural water objective or Health Advisory level, unless the  concentration already have been exceeded 
TDS values are estimated based on applied irrigation water electrical conductivity values for a 90 percent crop yield potential (Texas A&M AgriLife Extension, 2003, adapted from Ayers and Westcott, 1976).
Other constituents such as arsenic and uranium are scattered occurrences and although may locally affect groundwater quality cannot be managed on a regional basis. Therefore, undesirable results were not considered for these elements. 
The potential causes leading to undesirable results would be retainage of salts within the Subbasin due to lowering of groundwater levels and a reduction of storage that could lead to accumulation of salts, nitrate and boron in the Subbasin.
","Page 9-4 / 9.3.2
Table 9-1
Page 9-15 / 9.6.1
Table 9-2","COC's: TDS, chloride, sulfate, Nitrate, 1,2,3 TCP, arsenic, boron, Iron and manganese, they have evaluated TDS, nitrate, born, They did not set Undesitable results for other constitues which were scattered in the subbasin. "
Martha/Sara,,,DACs,1,"Does the GSP analyze direct and indirect impacts on DACs when defining Undesirable Results for 1) Chronic Lowering of Groundwater Levels, 2) Water Quality (see line 24), and 3) Depletions of Interconnected Surface Waters?","disadvantaged communit*, DAC, tribal, tribe, drinking water, undesirable result, groundwater levels, water quality, groundwater quality",Somewhat,"Groundwater beneficial users include humans, native plants, and aquatic species. Groundwater in the Subbasin is used by rural homeowners, agricultural users, and municipal entities for drinking water, industrial users for manufacturing or processing food, and environmental uses for ecosystems supporting groundwater dependent plants and species. The GSAs approached definition of undesirable results and what is considered to be significant and unreasonable, through a discussion of potential undesirable results by the GSAs and along with a workshop to seek stakeholder input on January 21, 2021, as documented in Chapter 11 – Notices and Communications

Water Quality: An undesirable result for degraded water quality in the Tracy Subbasin is experienced if SGMA-related 3978 groundwater management activities cause significant and unreasonable impacts to the long-term viability 3979 of domestic, agricultural, municipal, environmental, or other beneficial uses over the planning and 3980 implementation horizon of this GSP. Undesirable results may result from increases of salinity, nitrate and 3981 boron to above upper, primary drinking water standards or agricultural irrigation water quality objectives 3982 for crops grown in the Subbasin.

Depletions of Interconnected Surface Water: Depletions of interconnected surface water significant and undesirable results were developed based on available technical information included in the draft GSP, input to the Sustainable Management Criteria Worksheet, a public meeting, and discussions with GSA staff. In discussions of interconnected surface  water, GSA staff and stakeholders did not indicate any observed undesirable results from historical  depletions. 
The undesirable result for depletions of interconnected surface water in the Tracy Subbasin are: 
 Rivers dry up and cannot support aquatic species, water supply and recreation. Tracy Subbasin Groundwater Sustainability Plan
Chapter 9 9-27 PUBLIC DRAFT
 Allow saline water to intrude into waterways in the Tracy Subbasin, allowing for recharge of degrade water quality to the aquifers 
 Increased surface water depletion that would require additional releases of surface water from dams or a reduction of surface water diversions in order to repel saline water. 
The potential causes of increased surface water depletion are an increase of groundwater pumping and lowering of groundwater levels near the surface water bodies leading to additional surface water depletion.","9-17
9-26 to 9-27","When they talk about beneficial users they mention humans and don't specifically talk about DAC, would like to see DAc mentioned explicitly 

GSP briefly discusses undesirable results to beneficial users which could include DAC however they are not explicily mentioned but do address one main undesirable result as wells going dry. "
Martha/Sara,,,Tribes,1,"Does the GSP analyze direct and indirect impacts on Tribes when defining Undesirable Results for 1) Chronic Lowering of Groundwater Levels, 2) Water Quality (see line 24), and 3) Depletions of Interconnected Surface Waters?","disadvantaged communit*, DAC, tribal, tribe, drinking water, undesirable result, groundwater levels, water quality, groundwater quality",Not Applicable,,,
Becky/Sara,,,Ecosystems,1,"Does the GSP analyze direct and indirect impacts on GDEs when defining Undesirable Results for 1) Chronic Lowering of Groundwater Levels, 2) Water Quality, and 3) Depletions of Interconnected Surface Waters?","groundwater dependent ecosystem, GDE, groundwater-dependent ecosystem, instream, environment, undesirable result, groundwater levels, water quality, groundwater quality, depletion of surface water, ISW",Somewhat,"The criteria used to define significant and undesirable results by chronic lowering of groundwater levels are: Domestic and irrigation wells go dry (lowering pumps, cost to construct new wells)  Increased costs to pump groundwater (including power, lowering or replacement of pumps, and  new motors). Surface water is depleted such that creeks go dry (in periods other than severe climate conditions).  Groundwater supported vegetation die or cannot repopulate (reduction or elimination of GDEs).  Groundwater quality is degraded by increasing the salt content (lowering of groundwater levels.  increases and changes in pressure allows saline water from underlying marine sediments to  increase and intrude into freshwater aquifers Groundwater quality becomes unusable because contaminants spread vertically and horizontally  (contaminants from the large and known plumes spread and degrade water quality so that it cannot be used without treatment)  The potential effects of chronic lowering of groundwater levels are provided in the bullet list above.  Based on the criteria that could result in undesirable results, significant and undesirable results identified  for the Subbasin for chronic lowering of groundwater levels will occur when groundwater levels exceed  30 feet bgs in areas currently supporting GDEs or when groundwater levels decline that cause domestic  wells to go dry. The level when there would be a significant undesirable result will be when 25 percent or  more of the representative monitoring wells record groundwater levels that exceed the minimum thresholds for more than 2 consecutive years excluding drought periods. The consecutive 2-year period allows time to assess the conditions and to potentially develop actions to resolve the declining levels. 
&& 
Groundwater beneficial users in the Subbasin include domestic well owners, agriculture, and municipal, entities for drinking water, industrial for manufacturing or processing food, native plants, aquatic species, and crop water requirements. Groundwater quality can affect surface water if the groundwater is discharging to surface water and contains high concentrations of nutrients (e.g., nitrate).&& The undesirable result for depletions of interconnected surface water in the Tracy Subbasin are:   Rivers dry up and cannot support aquatic species, water supply and recreation. 
&& 
Significant and undesirable results would be if groundwater levels in 25 percent of the representative wells in normal years, excluding drought years, would decline below the minimum thresholds for 2 consecutive years.
","Page 9-5 / 9.3.1
Table 9-1
Page 9-14 / 9.6
page 9-26 and 9-27/ 9.8.2","Chronic Lowering of Groundwater Levels undesirable results analyzes the impact on GDEs. Degraded water quality vaguely mentions native plans and aquatic species, but more analysis is needed. Depletion of surface water acknolwedges the impact of undesirable results on aquatic species in rivers, but more detail is needed.  They lightly mention aquatic GDE in Depletion of ISW and lowering of WQ. More evaluation on GDE is needed."
Sara,,Minimum Thresholds,All,2,Does the GSP establish Water Quality minimum thresholds and measurable objectives for any identified constituents/contaminents identified in the plan area (see line 24)? Please identify which constituents have Minimum Thresholds and Measurable Objectives in the Notes.,"minimum threshold, water quality, groundwater quality, contaminent, constituent of concern, COC",Somewhat,"Salinity (as represented by TDS) nitrate and boron are relatively high in the Subbasin and are the only water quality constituents for which minimum thresholds were established in the Tracy Subbasin. Table 9-3 provides a listing of the historic concentrations at each representative well along with minimum thresholds. Appendix O contains the graphs showing the historic data and selected representative minimum thresholds. Because water quality varies throughout the Subbasin, the minimum thresholds for degraded groundwater quality also vary throughout the Subbasin. Where concentrations are: 
Below the MCL or agricultural water quality objective, the minimum threshold concentrations were established at the MCL or agricultural water quality objective
 Above the MCL or agricultural water quality objective, minimum thresholds were established at the 10% higher than the maximum concentrations historically found representative monitoring wells. The increase of 10% above the historical levels was developed based on uncertainty in concentrations and due to concentrations in some wells having upward trends This approach was taken because maximum historical concentrations at representative wells were used due to most wells having concentrations already above the MCLs or Notification Levels and would be consistent with the State Water Board Anti-degradation Policy (State Water Board 1968) which is to preserve water quality at the observed levels, even when these levels are above the MCL. It should be noted that wells SJCDW00032 and SJCDW00034 have only one measurement, and therefore both the historic maximum and minimum concentrations are the same. Minimum thresholds may need to be adjusted in the future, after more samples are analyzed and a more representative dataset is acquired. The approach to setting the minimum thresholds for these wells were established using the same approach described above.","Appendix O 
Page 9-18 / 9.6.4
Table 9-3","They have graphed MT and MO for TDS, NItrate and boron, but not sulfate, 1,2,3 TCP , or arsenic. "
Sara ,,,All,2,Are Water Quality minimum thresholds based on or within the Maximum Contaminent levels (MCLs)? Answer Yes = for identified constituents; Somewhat = for some of the identified constituents; No = none of the identified constituents; Not Applicable should never be an answer for this question.,"maximum contaminent level, MCL, minimum threshold, water quality, groundwater quality, contaminent, constituent of concern, COC",Somewhat,"Below the MCL or agricultural water quality objective, the minimum threshold concentrations were established at the MCL or agricultural water quality objective
Above the MCL or agricultural water quality objective, minimum thresholds were established at the 10% higher than the maximum concentrations historically found representative monitoring wells. The increase of 10% above the historical levels was developed based on uncertainty in concentrations and due to concentrations in some wells having upward trends This approach was taken because maximum historical concentrations at representative wells were used due to most wells having concentrations already above the MCLs or Notification Levels and would be consistent with the State Water Board Anti-degradation Policy (State Water Board 1968) which is to preserve water quality at the observed levels, even when these levels are above the MCL. It should be noted that wells SJCDW00032 and SJCDW00034 have only one measurement, and therefore both the historic maximum and minimum concentrations are the same. Minimum thresholds may need to be adjusted in the future, after more samples are analyzed and a more representative dataset is acquired. The approach to setting the minimum thresholds for these wells were established using the same approach described above.","Appendix O 
Page 9-18 / 9.6.4
Table (-3","The MT and MO has been set to MCL levels in some parts of the basin. It has been set for 10% higher than MCL
https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/ddw_secondary_standards.pdf 
(For Above the MCL or agricultural water quality objective, minimum thresholds were established at 4030 the 10% higher than the maximum concentrations historically found representative monitoring wells. The increase of 10% above the historical levels was developed based on uncertainty in concentrations and due to concentrations in some wells having upward trends?!!) Evaluation of set MT and MO is needed, the MO levels needs to be set to drinking water standard MCL."
Sara,,,Drinking Water Users,1,"Does the GSP evaluate the cumulative or indirect impacts of proposed minimum thresholds on drinking water users (e.g., domestic wells, municipal water suppliers)? If so, please indicate in the notes for which sustainability indicators (i.e., Groundwater levels, Water Quality).","minimum threshold, disadvantaged communit*, drinking water users, domestic, domestic wells, groundwater levels, water quality, groundwater quality",Somewhat,"The practical effect of the degraded groundwater quality undesirable result is that it may reduce or limit the potential uses for groundwater to meet the beneficial users or land uses. Groundwater quality minimum thresholds for adjacent subbasins are provided in Table 9-3 for  comparison to those established for the Tracy Subbasin. Because of the highly variable water quality in adjacent subbasins, the concentrations selected in those subbasins are higher than those selected for the Tracy Subbasin. Subsurface inflow from these adjacent subbasins, based on groundwater contours provided in Chapter 5 – Groundwater Conditions, and with their higher concentrations could affect  minimum thresholds in the Tracy Subbasin, which may require future revisions of the water quality  minimum thresholds.","Page 9-19 / 9.6.5
",Although they mention beneficial users but their MT and MO for boron and TDS is set to higher value in some parts of the basin
Martha/Sara,,,DACs,1,"Does the GSP evaluate the cumulative or indirect impacts of proposed minimum thresholds on DACs? If so, please indicate in the notes for which sustainability indicators (i.e., Groundwater levels, Water Quality).","minimum threshold, disadvantaged communit*, DAC, groundwater levels, water quality, groundwater quality",No,"Groundwater Level: The selection of the minimum thresholds was based on evaluating the individual and multiple beneficial users and selection of the shallowest level established for all users which establishes a conservative level to prevent undesirable results in the Subbasin, as shown in Table 9-1. Final selected minimum thresholds at each representative monitoring well, combining all sustainability indicators, are provided on the right  side of the Table 9-1. Minimum thresholds selected for subsidence, as discussed in Chapter 9.7 – Land Subsidence, are based on historic groundwater lows in the Subbasin. The minimum thresholds selected for surface water depletion, as discussed in Chapter 9.8 – Depletion of Surface Water, uses similar wells for chronic lowering of groundwater levels, GDEs in the Upper aquifer and wells in the Lower aquifer.

Water Quality: 

Depletions of Interconnected Surface Water: ",9-7 / Table 9-1,"NO direct mention of DAC

Although no direct mention od DACs, when establishing minimum thresholds, the GSP documents evaluating the beneficial users when it comes to groundwater levels, the GSP also provides a table where they detail the monitoring network when monitoring Groundwater levels and consider domestic well users as well as GDEs. There is however, no other mention of beneficial users or DACs specifically when establishing minimum thresholds for Water Quality or Depetions of Interconnected Water Systems. "
Martha/Sara,,,Tribes,1,"Does the GSP evaluate the cumulative or indirect impacts of proposed minimum thresholds on Tribes? If so, please indicate in the notes for which sustainability indicators (i.e., Groundwater levels, Water Quality, Interconnected Surface Waters).","minimum threshold, disadvantaged communit*, DAC, tribal, tribe, groundwater levels, water quality, groundwater quality",Not Applicable,,,
Becky/Sara,,,Ecosystems,1,"Does the GSP evaluate the cumulative or indirect impacts of proposed minimum thresholds on GDEs or environmental beneficial users of surface water? If so, please indicate in the notes for which sustainability indicators (i.e., Groundwater levels, Water Quality, Interconnected Surface Waters).","minimum threshold, groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, environmental beneficial user, instream, groundwater levels, water quality, groundwater quality, depletion of surface water ISW",Yes,"Criteria considered by the GSAs and stakeholders to establish minimum thresholds were based on the  protection of the most sensitive beneficial users in the Subbasin. The criteria selected for the development  of minimum thresholds for lowering of groundwater levels (or the maximum allowable groundwater level depth/elevation) were based on: Rooting zone depths of GDEs vary based on types of species. A thorough review of all GDEs vegetation types has not been completed to assess rooting zone depths, due to budget constraints and the overall limited presence of GDEs within the Non-Delta Management Area. Minimum thresholds will typically vary with shallower levels near water bodies and decreasing with depth  away from the water bodies. The selection criteria for minimum thresholds were established:  o At up to 3 feet below historical groundwater levels (2010-2015) where current groundwater  levels are less than 10 feet bgs  o At a conservative maximum depth of 30 feet bgs, due to the presence of Valley Oaks and when groundwater levels (2010 2015) are greater than 10 feet bgs 
&& 
Criteria considered by GSAs and stakeholders for the development of minimum thresholds for groundwater quality are: Plants and species water quality standards (State Water Board 2017) 
&& 
Criteria considered by the GSAs and stakeholders to establish minimum thresholds were: Depletion of surface water by lowering of groundwater levels could also affect GDEs",Page 9-6 / 9.3.3 && Page 9-18 / 9.6.3 && Page 9-27 / 9.8.3,Chronic Lowering of Groundwater; Water quality; and Depletion of Surface water
Sara,,Measurable Objectives,Drinking Water Users,2,Does the GSP consider Drinking Water Users when establishing measurable objectives?,"drinking water users, domestic, measurable objective, water quality, groundwater quality, contaminent, constituent of concern, COC",Somewhat,"The measurable objectives for degraded water quality were established at the maximum concentration at each representative monitoring well, with the goal of maintaining, to the extent possible, groundwater quality at its current concentrations. This approach is being conservative and consistent with State Water Board Anti-degradation Policy, rather than using the average of all concentrations.",Page 9-19 / 9.6.6,The MO was set as the maximum level in each sampling location. The MO needs to be set at level lover than MCL. I chose somewhat since in some locations the MO is set at lower level of MCL. However they do consider beneficial users when setting MO but since it is high in some locations for drinking water users I chose somewhat.
Martha/Sara,,,DACs,2,Does the GSP consider DACs when establishing measurable objectives?,"measurable objectives, disadvantaged communities, DAC",No,"Groundwater Levels: Because there have been no undesirable results for each of the sustainability indicators in the Delta area and none are likely to occur in the future, groundwater monitoring is not necessary in this portion of the Subbasin for it to remain sustainable. As such, minimum thresholds and measurable objectives will not be established for the Delta management area. 

As such, excessive groundwater use in the Non-Delta area could have undesirable results on beneficial  groundwater uses such as domestic, agricultural and municipal well owners, along with surface water, and  GDEs.

Based on the criteria that could result in undesirable results, significant and undesirable results identified for the Subbasin for chronic lowering of groundwater levels will occur when groundwater levels exceed  30 feet bgs in areas currently supporting GDEs or when groundwater levels decline that cause domestic wells to go dry. The level when there would be a significant undesirable result will be when 25 percent or more of the representative monitoring wells record groundwater levels that exceed the minimum thresholds for more than 2 consecutive years excluding drought periods

Water Quality: 

Depletions of Interconnected Water: ","6-3
6-6
9-5","No mention of DAC or other beneficial users when discussing minimum objectives for the majority of the Sustainability Indicators, only briefly disucsses some aspects of the Decline in Groundwater Levels in relation to beneficial users but is very brief. "
Martha/Sara,,,Tribes,2,Does the GSP consider Tribes when establishing measurable objectives?,"measurable objectives, tribal, tribes",Not Applicable,,,
Becky/Sara,,,Ecosystems,2,Does the GSP consider GDEs when establishing measurable objectives?,"measurable objectives, groundwater dependent ecosystems, environmental beneficial user",Yes,"Groundwater levels measurable objectives were set above the minimum threshold to meet the water needs  of a multi-year drought. The measurable objectives groundwater levels were established based on: • Average historical spring groundwater level within the last 10 years (2010-2020 to reflect current  conditions and as some wells were not measured in 2015 at the start of SGMA), because at these  levels: o There were sufficient groundwater reserves that undesirable results (no dry wells) were not reported during the recent drought o Near potential GDEs, groundwater levels were shallow enough to allow for continued growth and promote regrowth oAgriculture can still maintain unsaturated root zones and allow farming to continue 
&& 
As groundwater levels are being used as a proxy for depletions of interconnected surface water, the  measurable objectives and interim milestones for the depletions of interconnected surface water are the  same as the measurable objectives  developed for the chronic lowering of groundwater levels developed to be protective of GDEs, as listed in Table 9",Page 9-12 / 9.3.6 && Page 9-28 / 9.8.5,Chronic Lowering of groundwater MO set based on historical levels in which levels were shallow enough near GDEs. Depletion of Surface Water MO set as to the chronic lowering of groundwater MO to protect GDEs.
