Unnamed: 0,GENERAL,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11
ISW/GDE,,,Environment,1,"Were GDEs in the basin identified (mapped) and described in the GSP using best available data (e.g., NC dataset, localized VegMap data)? Please describe which data were used in the Notes.","No map of GDEs (or wetlands, riparian veg, etc.) = no
1) Map of NC dataset polygons with NDMI but no specific GDE maps, 2) Maps of GDEs but unclear data/methods used = somewhat
GSP used NC dataset or a localized vegMap to describe and map GDEs and included a clear description of methods = yes","groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, NC dataset, VegMap",Yes,"Indicators of groundwater dependent ecosystems (iGDEs) were identified and mapped utilizing the Natural Communities Commonly Associated with Groundwater (NCCAG) database. The NCCAG dataset was created by the California Department of Fish and Wildlife (CDFW), Department of Water Resources (DWR), and The Nature Conservancy (TNC). The NCCAG dataset was developed using publicly available state and federal data to identify iGDEs based on the presence of wetlands, vegetation, springs, and seeps. Similar criteria were used to evaluate a connection to groundwater for both subsets of data. In the vegetation iGDE dataset, 12,642 acres were evaluated. In the wetland iGDE dataset, 11,734 acres were evaluated. Additional datasets that were utilized in the GDE identification and analysis process were: Plant Rooting Depth database – rooting depth data for vegetative species GDE Pulse (Klausmeyer, et al. 2019) – Data on spatial indices that are proxies for vegetative health (NDVI & NDMI) California Protected Areas Database (CPAD) US Fish and Wildlife Services Critical Habitat CDFW’s Bios and CNDDB CDFW’s Areas of Conservation Emphasis (ACE)

&& The depth to water surface that we used in this analysis was created using the maximum groundwater elevation of the wells that were utilized in the YSGA model. There are 1,089 wells in this dataset, and the period of recors was between 1929 and 2016. This groundwater elevation surface was subtracted from a DEM with 30m resolution to create a minimum depth to water surface for the Yolo Subbasin. By using the minimum depth to water surface over the period of record, we are attempting to include GDEs that may only be connected to groundwater in years where the water table is elevated. Vegetation iGDEs where depth to water was less than 30’ were generally retained– except in the limited cases where the additional evaluation criteria suggested a connection to groundwater did not exist. iGDEs where the depth to water was greater than 30’ were further evaluated based on an evaluation of the rooting depth of the dominant species within that polygon. Valley Oaks (Quercus lobata), for example, have a maximum rooting depth of nearly 25 feet. Studies suggest that the Valley Oak may be able to access groundwater much deeper, and up to nearly 80 feet in fractured rock ecosystems (Burgy, 1964). For vegetative polygons where 30’ was more than double the dominant vegetations rooting depth, 30’ depth to water was used as the cutoff for establishing a connection to groundwater. For vegetative polygons where 30’ was less than double the rooting depth of the dominant vegetative species, depth to water was compared to double the rooting depth of the dominant vegetative species. For example, if a vegetative iGDE polygon’s primary vegetation was Valley Oak and the historic minimum depth to water was 48’, it would be considered a GDE. Historic minimum Depth to water greater than 50 feet was the cutoff for a connection to groundwater. For the ‘wetland’ iGDE polygons in the NCCAG dataset, Depth to water was evaluated using two criteria. The first consideration was if the wetland iGDE existed on a surface water body that was determined to be ‘connected’ as a result of the analysis for Interconnected Surface-Water Depletion. If the iGDE existed along a ‘connected’ stretch of a surface water body in this analysis, it was kept as a GDE. All springs and seeps identified in the dataset used were kept. The process to determine the status of a surface water body is described in Section 2.2.6. If the wetland iGDE was along an ‘uncertain’ body of water, the iGDE was placed into the ‘uncertain’ category. The second criteria depth to water that was used to determine the status of an iGDE was depth to water. For the wetland iGDEs that were not within 500’ of a surface water body, polygons where depth to water was less than 30’ were retained

&& NDVI values were utilized to determine if a vegetative iGDE was disconnected from groundwater. The NDVI data that was used to evaluate vegetative iGDEs was downloaded from GDE Pulse. The GDE Pulse tool contains NDVI and NDMI values for iGDE polygons where greater than 50% of the NDVI cell overlaps an iGDE polygon. This dataset contains annual average NDVI values from Landsat data between July 9 and September 7 from 1985 – 2018. To determine whether a vegetative iGDE had a connection to groundwater, the maximum NDVI value between 2000 and 2018 was obtained for each polygon. If the maximum NDVI value for a given polygon was less than 0.2 between 2000 and 2018, it was inspected using arial imagery. If the iGDE polygon had a maximum summer NDVI of less than 0.2 and it did not appear to be a GDE from the current arial imagery, it was removed. This process removed 151 acres of vegetation iGDEs.","Page 2-113 / 2.2.7.1

&& Page 2-113-114 / 2.2.7.2

&& Page 2-114-115 / 2.2.7.2

Table 2-18
Table 2-19
FIgure 2-50
Figure 2-51","1. Is there a map? yes - figures 2-50 and 2-51 present the vegetation iGDEs and wetland iGDEs that were kept, uncertain, and removed
2. Is there a description of data sources and processing (in GDE section or related appendix)? (describe in notes) yes - very detailed description of methods and data used to include or remove iGDE polygons. The plan used groundwater depths, rooting depths, NDVI, and aerial imagery."
ISW/GDE,,,Environment,1,Was depth-to-groundwater data from the underlying principal aquifer used to verify the NC dataset?,"No groundwater depth data described = no
Groundwater measurements used but lack of detail in describing depth to groundwater data. Also there might be a lack of information on which aquifer the data is from. = somewhat
depth to groundwater is clearly used and description of spatial/temporal data is included = yes","groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, NC dataset, depth to groundwater",Yes,"The depth to water surface that we used in this analysis was created using the maximum groundwater elevation of the wells that were utilized in the YSGA model. There are 1,089 wells in this dataset, and the period of recors was between 1929 and 2016. This groundwater elevation surface was subtracted from a DEM with 30m resolution to create a minimum depth to water surface for the Yolo Subbasin. By using the minimum depth to water surface over the period of record, we are attempting to include GDEs that may only be connected to groundwater in years where the water table is elevated. Vegetation iGDEs where depth to water was less than 30’ were generally retained– except in the limited cases where the additional evaluation criteria suggested a connection to groundwater did not exist. iGDEs where the depth to water was greater than 30’ were further evaluated based on an evaluation of the rooting depth of the dominant species within that polygon.

&& Groundwater levels and trends are uncertain in some areas like in north-west Yolo. Although groundwater observations are scarce in areas close to Sacramento R. as well, there is widespread knowledge that water levels are shallow there. Additionally, surface elevations and screening depths are uncertain, and in many cases, missing. The latter point made it challenging to ascertain which aquifer layer was being pumped.","Page 2-113 / 2.2.7.1  

&& Page 89 / appendix D
","1. Is data from shallowest principal aquifer used? yes - YSGA model used to identify groundwater depths under GDEs, but some uncertainty exists around perched aquifer.  Unknown if the groundwater data comes from perched or shallow aquifer. Clarification is needed.
2. Is there a description of the data (in GDE section or related appendix)? (spatial, temporal, proximity to GDEs?)  Yes - the YSGA model is used. Appendix D provides a detailed description of the model, but screening depths are not known for all wells in model.
"
ISW/GDE,,,Environment,2,"Did the GSP avoid using any of the following criteria when deciding whether or not to remove NC dataset polygons from the final GDE map?: 1)Presence of Surface Water, 2)Distance from agricultural fields, 3)Principal aquifer was not considered main pumping aquifer, 4)groundwater connection % of time, 5)Other?  If so, please specify in the Notes. ","GSP uses one of the above criteria (or other illogical reason) to remove a potential GDE = no
Unclear whether or not plan used these criteria = somewhat
The GSP does not include any of these criteria to remove a NC dataset polygon = yes","groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, NC dataset",Yes,,,
ISW/GDE,,,Environment,2,"Were multiple water year types (e.g., wet, average, dry) of groundwater level data used to characterize groundwater conditions in the GDEs? If so, please indicate which years and water year types in the Notes.","Only 1 year of data or no data used to characterize gw conditions in GDE = no
The plan lacks a description of multi-year groundwater level data and/or only post-drought or post- SGMA benchmark data is used (after 2015)  = somewhat
1. Detailed explanation of the multi-year groundwater data used and 2. groundwater data from prior to recent drought = yes","groundwater conditions, groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, depth to groundwater, depth to water",Yes,"The depth to water surface that we used in this analysis was created using the maximum groundwater elevation of the wells that were utilized in the YSGA model. There are 1,089 wells in this dataset, and the period of recors was between 1929 and 2016.",Page 2-113 / 2.2.7.2,"Note: 
water year type does not need to be explictely mentioned when groundwater data used multiple years of known wet and dry periods

groundwater data from 1929 - 2016 used in model"
ISW/GDE,,,Environment,2,Were depth-to-groundwater measurements under GDEs corrected for land surface elevations?,"depth to water measurements interpolated from wells = no
Model is said to use groundwater elevations, but did not state that they corrected for land surface elevation = somewhat
It is explicit that groundwater measurements used to verify GDEs are correct for land surface elevation = yes","DEM, digital elevation model, land surface elevation, depth to groundwater, GDE, groundwater dependent ecosystem",Yes,"The depth to water surface that we used in this analysis was created using the maximum groundwater elevation  of the wells that were utilized in the YSGA model. There are 1,089 wells in this dataset, and the period of record was between 1929 and 2016. This groundwater elevation surface was subtracted from a DEM with 30m resolution to create a minimum depth to water surface for the Yolo Subbasin. By using the minimum depth to water surface over the period of record, we are attempting to include GDEs that may only be connected to groundwater in years where the water table is elevated.",Page 2-113 / 2.2.7.2,"1. Was a digital elevation model (DEM) or Lidar data used to correct for land surface elevation? yes, a DEM was used"
ISW/GDE,,,Environment,2,Were data gaps identified when mapping GDEs?,"No data gaps identified when there likely should be = no
Vague description of a lack of data or data gaps mentioned in other section of GSP = somewhat
Clear description of data gaps (spatial and temporal) in text and/or mapped = yes","groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, data gap, shallow monitoring well, shallow aquifer",Yes,GDE data gaps – primarily in the Dunnigan Hill Management Area – coincide with data gaps in our monitoring network and are addressed in Chapter 4 of this GSP. Addressing data gaps in our monitoring network will help to improve the understanding of GDEs in areas where these data gaps are present.,Page 2-127 / 2.2.7.6,"1. Were data gaps identified? yes
2. Were the data gaps identifed in the GDE section? yes"
ISW/GDE,,,Environment,2,"In the case of data gaps and uncertainty, were potential GDEs mapped and described in the GSP?","Potential GDEs are not mapped or described in plan  = no
Vague description of potential GDEs and/or no map; wrong methods for assuming non-GDEs = somewhat
Potential GDEs are clearly acknowledged and mapped. = yes","potential groundwater dependent ecosystem, potential GDE, potential groundwater-dependent ecosystem, data gap",Yes,"iGDEs that were included in the NCCAG dataset were evaluated to determine a connection to groundwater. The evaluation of these iGDEs resulted in the creation of three categories: connected, disconnected, and uncertain. The criteria utilized to determine an iGDE’s category are described below.

&& Depth to water data is limited in the Dunnigan Hills and in the southern most portion of the Yolo Subbasin. In the Dunnigan Hills, there are a handful of polygons that are uncertain due to limited data. There are 110 acres o  vegetation iGDEs that fall into this category. There are 32 acres of wetland iGDEs that fall into this category.","Page 2-113 / 2.2.7.2

&& Page 2-114 / 2.2.7.2

Figure 2-50 and 2-51","1. Is there a map AND description of pGDEs? yes - iGDEs without adequate data were labeled as ""uncertain"" in figures 2-50 and 2-51. There is not a detailed description of the uncertain GDEs, other than the brief mention of limited groundwater in the southern basin."
CC/Other,,Water Budget,Ecosystems,1,"Does the GSP include water demands for native vegetation in the historic, current, and projected water budgets?","No: No mention of evapotranspiration for the water budget
Somewhat: Numerical models that include different land cover classes in evapotranspiration 
Yes: Riparian Evapotranspiration separated out in the water budget charts or tables ","water budget, native vegetation, phreatophyte",Somewhat,Evaporation from the land surface (soil and urban land cover) and transpiration from vegetation (agriculture and native vegetation) from all catchments within the county.,Table 10 / 1.3 (water budget chapter),"1. Is the water budget made with a spreadsheet model or numerical model? Numerical (MODFLOW)
2. Is there a line for Native Veg ET in the water budget? Native veg ET not separated out from other ET
"
CC/Other,,,Ecosystems,1,"Does the GSP include water demands for managed wetlands in the historic, current, and projected water budgets?","No: No line item or description of managed wetlands’ water demands in water budgets even if wetlands are discussed in other areas of GSP. No mention of managed wetlands in GSP.  
Somewhat: Managed wetlands are part of the numerical model or spreadsheet model assumptions but not included as a separate line item
Yes: Separate line item for managed wetlands in water budgets","water budget, managed wetlands",No,"The YSGA water budget currently contains a data gap surrounding the consideration of managed wetlands. To ensure accurate consideration of managed wetlands moving forward, additional analysis and coordination will occur.",Page 4-29 / 4.11.2.3,"1. Is the water budget made with a spreadsheet model or numerical model? Numerical
2. Is there a line for Managed Wetlands in the water budget? No
"
CC/Other,,,Climate Change,1,"Does the GSP incorporate climate change into the projected water budget using DWR change factors or other source? If other, please specify in the Notes. If DWR change factors were used, indicate in the Notes whether the GSP use 2030 factors, 2070 factors, or both?","No: Climate change not incorporated into projected water budget
Somewhat: Use a different climate model other than DWR change factors but description of methodology is unclear
Yes: Climate change is incorporated and methods are clearly stated","water budget, climate change, change factors, 2030, 2070",Yes,"Future projections in the YSGA model only capture climate change projections based on climate change model simulations centered around the mid-2030’s and mid-2070’s. Five future scenarios exist in the model. Urban demand in these five scenarios is based on Urban Water Management Plan (UWMP) projections. The total urban demand is the same across the five modeled scenarios. Land use in the five future scenarios is held constant at the 2016/2018 land use values. The differences between five future modeling scenarios are driven by the effect of the climate changes impacting irrigation demand, precipitation, and surface water supply availability. The five scenarios are as follows and the cumulative and average precipitation for the Yolo Subbasin is higher in all climate projections, compared to that in the ‘Historical’ scenario:
1. ‘Future_baseline’ – urban demand increasing; irrigated crops constant; climate same as historical
2. ‘Future_2030’ – central tendency centered around 2030
3. ‘Future_2070’ – central tendency centered around 2070
4. ‘Future_2070_DEW’ – Dry-Extreme Weather
5. ‘Future_2070_WMW’ – Wetter-Moderate Warming
Additional information on the climate change portion of the model can be found in DWR’s Climate Change Data and Guidance for Use During Groundwater Sustainability Plan Development (DWR, 2018).",Page 2-129 / 2.2.8,"1. Is climate change incorporated? Yes
2. Do they use DWR change factors (climate period analysis), transitory analysis or something else (describe)? DWR Change Factors used
3. If using DWR climate change factors, do they use 2030, 2070 or both? Both 2030 and 2070"
CC/Other,,,Climate Change,1,"Does the GSP consider multiple climate scenarios (e.g., the 2070 wet and 2070 extremely dry) scenarios in the projected water budget? If there are other scenarios considered in the GSP, please specify in the Notes.","No: Only one climate scenario used
Somewhat: no somewhat for this question
Yes: Multiple climate scenarios used (wet / extremely dry) and provided in projected water budget","projected water budget, 2070",Yes,"Future projections in the YSGA model only capture climate change projections based on climate change model simulations centered around the mid-2030’s and mid-2070’s. Five future scenarios exist in the model. Urban demand in these five scenarios is based on Urban Water Management Plan (UWMP) projections. The total urban demand is the same across the five modeled scenarios. Land use in the five future scenarios is held constant at the 2016/2018 land use values. The differences between five future modeling scenarios are driven by the effect of the climate changes impacting irrigation demand, precipitation, and surface water supply availability. The five scenarios are as follows and the cumulative and average precipitation for the Yolo Subbasin is higher in all climate projections, compared to that in the ‘Historical’ scenario:
1. ‘Future_baseline’ – urban demand increasing; irrigated crops constant; climate same as historical
2. ‘Future_2030’ – central tendency centered around 2030
3. ‘Future_2070’ – central tendency centered around 2070
4. ‘Future_2070_DEW’ – Dry-Extreme Weather
5. ‘Future_2070_WMW’ – Wetter-Moderate Warming
Additional information on the climate change portion of the model can be found in DWR’s Climate Change Data and Guidance for Use During Groundwater Sustainability Plan Development (DWR, 2018).",Page 2-129 / 2.2.8,"1. If they use DWR climate change factors, which scenarios do they use? (central tendency, extreme wet, extreme dry) All scenarios considered for both 2030 and 2070
2. If other than DWR factors, which combination(s) of RCP and GCM do they use?
3. If other than DWR factors, do they use an ensemble of models or single model run?"
CC/Other,,,Climate Change,2,Does the GSP incorporate climate change into precipitation inputs for the projected water budget?,"No: Precipitation not adjusted for climate change in inputs for projected water budget
Somewhat: no somewhat for this question
Yes: Precipitation adjusted for climate change either through change factors or other model projections for the projected water budget","projected water budget, precipitation, input",Yes,"This section summarizes the data sources used in the YSGA model for the historical period, and the main assumptions for both historical and future scenarios.
Sources: Historical, modified by Climate Change factors provided by DWR",Table 6 / 1.1.3 (water budget chapter),
CC/Other,,,Climate Change,2,Does the GSP incorporate climate change into evapotranspiration inputs for the projected water budget?,"No: Evapotranspiration not adjusted for climate change in projected water budget inputs
Somewhat: no somewhat for this question
Yes: Evapotranspiration adjusted for climate change either through change factors or other model projections in projected water budgets","projected water budget, evapotranspiration, ET, input",Yes,"This section summarizes the data sources used in the YSGA model for the historical period, and the main assumptions for both historical and future scenarios.
Sources: Historical, modified by Climate Change factors provided by DWR",Table 6 / 1.1.3 (water budget chapter),
CC/Other,,,Climate Change,2,"Does the GSP incorporate climate change into surface water flow inputs (e.g., imported water, streamflow) for the projected water budget?","No: Surface water inputs are not accounted for in projected water budgets
Somewhat: CC in surface water flows, BUT imported water not adjusted 
Yes: Surface water flows adjusted for climate change (DWR change factors for spreadsheet model, modeled with adjusted precip and ET for numerical model) and if there is imported water, it is adjusted as well.","projected water budget, surface water flow, input",No,"This section summarizes the data sources used in the YSGA model for the historical period, and the main assumptions for both historical and future scenarios.
Soures: Same as historical",Table 6 / 1.1.3 (water budget chapter),"1. Is the water budget made with a numerical model or spreadsheet model? Numerical
2. If spreadsheet, are DWR surface water change factors included?
3. Is there imported water in the water budget? Is this adjusted for climate change? No
Projected surface water flows stated to be the same as historical; i.e. not adjusted for CC"
CC/Other,,,Climate Change,2,Does the GSP incorporate climate change into sea level inputs for the projected water budget?,"No: Does not mention or apply sea level rise into projected water budget though located in vicinity of coastal region
Somewhat: no somewhat for this question
Yes: Clear sea level rise projections under climate change incorporated into projected water budget","projected water budget, sea level, input",Not Applicable,"Seawater intrusion, as observed in California’s coastal aquifers, will not likely occur within the Yolo Subbasin because the ocean is over 50 miles away, farther if measured along the waterways. The southern portion of the Yolo Subbasin is located within the Sacramento-San Joaquin Delta and has been subject to salinity intrusions during the early part of the last century but not since 1944 and 1990 (DWR, 1995) and probably not thereafter due to the state management of flows through the Delta to prohibit salinity intrusion.",Page 2-54 / 2.2.3,
CC/Other,,,Climate Change,2,Does the GSP calculate a sustainable yield based on the projected water budget with climate change incorporated?,"No: Sustainable yield not provided or is not calculated based on projected water budget with climate change
Yes: Sustainable yield is calculated based on projected water budget with climate change (ranges based on different future scenarios is OK)","sustainable yield, projected water budget",No,"From the literature available for Yolo County, the closest definition to ‘sustainable yield’ is an estimate for perennial yield provided in the Yolo County groundwater investigation from 1976 (Clendenen & Associates, 1976; Scott and Scalmanini, 1975). These investigators defined ‘perennial yield’ as “the amount of water which can be pumped annually from that basin, with no net change in storage over a selected period of time”. This definition is materially the same as the SGMA definition mentioned earlier. Perennial yield for Yolo county, for the period 1963-1972, was calculated at 304.5 TAF.",Page 56 / 1.4 (water budget chapter),Sustainable yield based off estimated volume that can be pumped without changing storage rather than off of projected future water budget
WQ,SUSTAINABLE MANAGEMENT CRITERIA,Undesirable Results,Domestic,1,Does the GSP analyze direct or indirect impacts on domestic drinking wells when defining Undesirable Results for 1) Chronic Lowering of Groundwater Levels and 2) Water Quality (See line 24)?,"NO: no mention Somewhat: explicit mention of drinking water users, but not well analyzed; mention impact on one of the UR, mentioning some of the COCs. YES: clear impact on drinking water users & explanation of all COCs","domestic well, drinking water, undesirable result, groundwater levels, water quality, groundwater quality",Somewhat,"The YSGA has not established specific sustainable management criteria for water quality in the Subbasin but will rely on current and future water quality standards established for drinking water and agricultural water uses by State and county regulatory agencies. The YSGA will annually review water quality monitoring data, in collaboration with regulating agencies, to determine if water quality is being negatively affected by groundwater management activities. In the future, where significant negative impacts to water quality associated with groundwater management activities are identified, the YSGA will coordinate with stakeholders and regulatory  agencies to establish appropriate sustainable management criteria that can be used to define the occurrence of basin-wide undesirable results for specific water quality constituents. 
The list of water quality constituents of concern for the Subbasin includes: Total Dissolved Solids (TDS), Nitrate, Arsenic, Boron, and Hexavalent Chromium (VI).&&&
3.2.1.2 Potential Effects of Degraded Water Quality Section 354.26(b)(3) of the GSP Emergency Regulations requires identification of potential effects of an undesirable result for each sustainability indicator. The potential effects of undesirable results caused by degraded water quality on beneficial uses and users of groundwater may include: increased costs to treat groundwater to drinking water standards if it is to be used as a potable supply source; increased costs to blend relatively poor-quality groundwater with higher quality sources for agricultural and non-agricultural uses; limitations on viable crop types or crop yield depending on crop sensitivity and tolerance to COCs in groundwater used for irrigation; and potential reduction in “usable storage” volume of groundwater in the basin if large areas of aquifer are impacted to the point that they cannot be used to support beneficial uses and users.
","Page 3-15 / 3.2
page 3-16 / 3.2.1.2","1. Do they mention Drinking water users for UR? Yes 
2. Which URs mention Drinking Water Users? WQ
3. Are impacts to Drinking Water users well analyzed? (mention well elevation and quality impacts) No
4. Are all impacts of all COCs described? No"
Stakeholder & WQ,,,DACs,1,"Does the GSP analyze direct and indirect impacts on DACs when defining Undesirable Results for 1) Chronic Lowering of Groundwater Levels, and 2) Water Quality (see line 24)?","NO: no mention of DACs Somewhat: mention DACs, but not well analyzed Yes: impacts to DACs analyzed and described (describe impact to DAC well elevations/quality)","disadvantaged communit*, DAC, tribal, tribe, drinking water, undesirable result, groundwater levels, water quality, groundwater quality",No,,,"1. Do they mention DACs for UR? No
2. Which URs mention DACs?
3. Are impacts to DACs well analyzed?
"
Stakeholder & WQ,,,Tribes,1,"Does the GSP analyze direct and indirect impacts on Tribes when defining Undesirable Results for 1) Chronic Lowering of Groundwater Levels, 2) Water Quality (see line 24), and 3) Depletions of Interconnected Surface Waters?","NO: no mention of Tribes 
Somewhat: mention Tribes, but not well analyzed
Yes: impacts to tribes analyzed and described (describe impact to Tribal wells/elevations)","disadvantaged communit*, DAC, tribal, tribe, drinking water, undesirable result, groundwater levels, water quality, groundwater quality",No,,,"1. Do they mention Tribes for UR? No
2. Which URs mention Tribes?
3. Are impacts to Tribes well analyzed?
"
ISW/GDE & WQ,,,Ecosystems,1,"Does the GSP analyze direct and indirect impacts on GDEs when defining Undesirable Results for 1) Chronic Lowering of Groundwater Levels, 2) Water Quality, and 3) Depletions of Interconnected Surface Waters?","NO: no mention of GDEs Somewhat: mention GDEs, but not well analyzed; only for 1 or 2 URs Yes: impacts to GDEs analyzed and described ( impacts to specific species - cause and effect ecosystem, e.g. dieback, impacts to habitat)","groundwater dependent ecosystem, GDE, groundwater-dependent ecosystem, instream, environment, undesirable result, groundwater levels, water quality, groundwater quality, depletion of surface water, ISW",Somewhat,"In addition to the impact on groundwater production, the chronic lowering of groundwater levels can also impact surface water-groundwater interactions along Subbasin waterways, such as Putah and Cache creeks, and groundwater availability for GDEs.

&& The basin-wide definition of “undesirable results” for interconnected surface water is as follows: The point at which significant and unreasonable impacts to the surface waters affect the reasonable and beneficial use of those surface waters by overlying users, including associated ecosystems.","Page 3-3 / 3.3.1.2 

&& Page 3-22/23 / 3.6.1","1. Do they mention GDEs for UR? somewhat 
2. Which URs mention GDEs? Chronic lowering of groundwater levels and depletions of interconnected surface waters
3. Are impacts to GDEs well analyzed? no - only brief mentions of GDEs, no futher analysis
This is more of a No than somewhat.
"
WQ,,Minimum Thresholds,All,2,Does the GSP establish Water Quality minimum thresholds and measurable objectives for the identified constituents/contaminents identified in the plan area (see line 24)? Please identify which constituents have Minimum Thresholds and Measurable Objectives in the Notes.,No - none Somewhat - only some COCs Yes - both,"minimum threshold, water quality, groundwater quality, contaminent, constituent of concern, COC",No,,,"1. Are MT and MO set for COCs? No
2. Do they set MT and MO for all COCs? No"
WQ,,,All,2,"Are Water Quality minimum thresholds based on or within the Maximum Contaminent levels (MCLs)? Answer Yes = for identified constituents; Somewhat = for some of the identified constituents; No = none of the identified constituents; Not Applicable should never be an answer for this question. Note: Secondary MCLs are ok for TDS, sulfate, chloride, manganese, iron.",No - none Somewhat - only some COCs Yes - both,"maximum contaminent level, MCL, minimum threshold, water quality, groundwater quality, contaminent, constituent of concern, COC",No,,,"1. Are MT set at MCL level for COCs? No
2. Are all MT set at MCL level? No

"
WQ,,,Drinking Water Users,1,"Does the GSP evaluate the cumulative or indirect impacts of proposed groundwater elevation and water quality minimum thresholds on drinking water users (e.g., domestic wells, municipal water suppliers)? ",NO: no mention Somewhat: mention vaguely &/ only for one MT section YES: mention in both MT sections and use quantitative data to justify/describe,"minimum threshold, disadvantaged communit*, drinking water users, domestic, domestic wells, groundwater levels, water quality, groundwater quality",No,,,"1. Do they mention impact of groundwater elevation MT on drinking water users? No
2. Do they mention impact of water quality MT on drinking water users? No
3. Do they use quantitative data to describe the harm of crossing the MT?

"
Stakeholder & WQ,,,DACs,1,Does the GSP evaluate the cumulative or indirect impacts of proposed groundwater elevation and water quality minimum thresholds on DACs?,NO: no mention Somewhat: mention vaguely &/ only for one MT section YES: mention in both MT sections and use quantitative data to justify/describe,"minimum threshold, disadvantaged communit*, DAC, groundwater levels, water quality, groundwater quality",No,,,"1. Do they mention impact of groundwater elevation MT on DACs? No
2. Do they mention impact of water quality MT on DACs? No
3. Do they use quantitative data to describe the harm to DACs of crossing the MT?

"
Stakeholder & WQ,,,Tribes,1,"Does the GSP evaluate the cumulative or indirect impacts of proposed groundwater elevetion, ISW and water quality minimum thresholds on Tribes? ",NO: no mention Somewhat: mention vaguely &/ only for one MT section YES: mention in both MT sections and use quantitative data to justify/describe,"minimum threshold, disadvantaged communit*, DAC, tribal, tribe, groundwater levels, water quality, groundwater quality",No,,,"1. Do they mention impact of groundwater elevation MT on Tribes? No
2. Do they mention impact of water quality MT on Tribes? No
2. Do they mention impact of ISW MT on Tribes? No
4. Do they use quantitative data to describe the harm to Tribess of crossing the MT?
"
ISW/GDE & WQ,,,Ecosystems,1,Does the GSP evaluate the cumulative or indirect impacts of proposed minimum thresholds for groundwater elevations and ISW on GDEs or environmental beneficial users of surface water?,NO: no mention Somewhat: mention vaguely &/ only for one MT section YES: mention in both MT sections and use quantitative data to justify/describe,"minimum threshold, groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, environmental beneficial user, instream, groundwater levels, water quality, groundwater quality, depletion of surface water ISW",No,,,"1. Do they mention impact of groundwater elevation MT on GDEs? No
2. Do they mention impact of ISW MT on GDEs? No
3. Do they use quantitative data to describe the harm of crossing each of the MT? No
"
WQ,,Measurable Objectives,Drinking Water Users,2,Does the GSP consider Drinking Water Users when establishing water quality and groundwater elevation measurable objectives?,NO: no mention Somewhat: mention vaguely &/ only for one MO section YES: mention in both MO sections and justify/describe,"drinking water users, domestic, measurable objective, water quality, groundwater quality, contaminent, constituent of concern, COC",No,,,"1. Does the GSP mention Drinking Water Users for water quality MO? No
2. Does the GSP mention Drinking Water Users for groundwater elevation MO? No
3. Do they justify/evaluate the MOs based on Drinking Water users water needs?
"
Stakeholder & WQ,,,DACs,2,Does the GSP consider DACs when establishing water quality and groundwater elevation measurable objectives?,NO: no mention Somewhat: mention vaguely &/ only for one MO section YES: mention in both MO sections and justify/describe,"measurable objectives, disadvantaged communities, DAC",No,,,"1. Does the GSP mention DACs for groundwater elevation MO? No
2. Does the GSP mention DACs for ISW MO? No
3. Do they justify/evaluate the MOs based on DAC water needs?

"
Stakeholder & WQ,,,Tribes,2,"Does the GSP consider Tribes when establishing water quality, ISW and groundwater elevation measurable objectives?",NO: no mention Somewhat: mention vaguely &/ only for one MO section YES: mention in both MO sections and justify/describe,"measurable objectives, tribal, tribes",No,,,"1. Does the GSP mention Tribes for WQ MO? No
2. Does the GSP mention Tribes for groundwater elevation MO? No
3. Does the GSP mention Tribes for ISW MO? No
4. Do they justify/evaluate the MOs based on Tribal water needs?

"
ISW/GDE & WQ,,,Ecosystems,2,Does the GSP consider GDEs when establishing ISW and groundwater elevationmeasurable objectives?,NO: no mention Somewhat: mention vaguely &/ only for one MO section YES: mention in both MO sections and justify/describe,"measurable objectives, groundwater dependent ecosystems, environmental beneficial user",No,,,"1. Does the GSP mention GDEs for ISW MO? no
2. Does the GSP mention GDEs for groundwater elevation MO? no
3. Do they justify/evaluate the MOs based on GDE water needs? no

"
